canonical_code,variant_key,variant_label,print_id,release_set_name,image_path,is_base,is_sp,is_tr,is_alt,is_manga_rare,is_golden_manga_rare,is_illustration_rare
EB01-009,r1,R1,EB01-009_r1,One Piece Card The Best Vol.2,EB01/base/EB01-009_r1.png,0,0,0,0,0,0,0
EB01-012,base,Base,EB01-012,Memorial Collection,,1,0,0,0,0,0,0
EB01-012,parallel 1,Parallel 1,EB01-012_p1,Memorial Collection,EB01/parallel/EB01-012_p1.png,0,0,0,0,0,0,0
EB01-012,parallel 3,Parallel 3,EB01-012_p3,Promotion Card,EB01/parallel/EB01-012_p3.png,0,0,0,0,0,0,0
EB01-012,r1,R1,EB01-012_r1,One Piece Card The Best Vol.2,EB01/base/EB01-012_r1.png,0,0,0,0,0,0,0
EB01-013,base,Base,EB01-013,Memorial Collection,,1,0,0,0,0,0,0
EB01-013,parallel 1,Parallel 1,EB01-013_p1,Memorial Collection,EB01/parallel/EB01-013_p1.png,0,0,0,0,0,0,0
EB01-014,base,Base,EB01-014,Memorial Collection,,1,0,0,0,0,0,0
EB01-014,parallel 1,Parallel 1,EB01-014_p1,Promotion Card,EB01/parallel/EB01-014_p1.png,0,0,0,0,0,0,0
EB01-015,base,Base,EB01-015,Memorial Collection,,1,0,0,0,0,0,0
EB01-015,parallel 1,Parallel 1,EB01-015_p1,Promotion Card,EB01/parallel/EB01-015_p1.png,0,0,0,0,0,0,0
EB01-015,parallel 2,Parallel 2,EB01-015_p2,Promotion Card,EB01/parallel/EB01-015_p2.png,0,0,0,0,0,0,0
EB01-015,parallel 3,Parallel 3,EB01-015_p3,Green Jewelry Bonney,EB01/parallel/EB01-015_p3.png,0,0,0,0,0,0,0
EB01-015,parallel 4,Parallel 4,EB01-015_p4,Promotion Card,EB01/parallel/EB01-015_p4.png,0,0,0,0,0,0,0
EB01-015,parallel 5,Parallel 5,EB01-015_p5,One Piece Card The Best Vol.2,EB01/parallel/EB01-015_p5.png,0,0,0,0,0,0,0
EB01-015,r1,R1,EB01-015_r1,One Piece Card The Best Vol.2,EB01/base/EB01-015_r1.png,0,0,0,0,0,0,0
EB01-018,base,Base,EB01-018,Memorial Collection,,1,0,0,0,0,0,0
EB01-018,parallel 1,Parallel 1,EB01-018_p1,One Piece Card The Best Vol.2,EB01/parallel/EB01-018_p1.png,0,0,0,0,0,0,0
EB01-018,r1,R1,EB01-018_r1,One Piece Card The Best Vol.2,EB01/base/EB01-018_r1.png,0,0,0,0,0,0,0
EB01-021,base,Base,EB01-021,Memorial Collection,,1,0,0,0,0,0,0
EB01-021,parallel 1,Parallel 1,EB01-021_p1,Memorial Collection,EB01/parallel/EB01-021_p1.png,0,0,0,0,0,0,0
EB01-021,parallel 2,Parallel 2,EB01-021_p2,Anime 25th Collection,EB01/parallel/EB01-021_p2.png,0,0,0,0,0,0,0
EB01-022,base,Base,EB01-022,Memorial Collection,,1,0,0,0,0,0,0
EB01-022,parallel 1,Parallel 1,EB01-022_p1,Memorial Collection,EB01/parallel/EB01-022_p1.png,0,0,0,0,0,0,0
EB01-023,base,Base,EB01-023,Memorial Collection,EB01/sp/EB01-023_sp.png,1,1,0,0,0,0,0
EB01-023,parallel 1,Parallel 1,EB01-023_p1,The Azure Sea’s Seven,EB01/parallel/EB01-023_p1.png,0,1,0,0,0,0,0
EB01-023,parallel 2,Parallel 2,EB01-023_p2,Other Product Card,EB01/parallel/EB01-023_p2.png,0,1,0,0,0,0,0
EB01-027,base,Base,EB01-027,Memorial Collection,,1,0,0,0,0,0,0
EB01-027,parallel 1,Parallel 1,EB01-027_p1,Memorial Collection,EB01/parallel/EB01-027_p1.png,0,0,0,0,0,0,0
EB01-031,base,Base,EB01-031,Memorial Collection,,1,0,0,0,0,0,0
EB01-031,parallel 1,Parallel 1,EB01-031_p1,Memorial Collection,EB01/parallel/EB01-031_p1.png,0,0,0,0,0,0,0
EB01-034,base,Base,EB01-034,Memorial Collection,,1,0,0,0,0,0,0
EB01-034,parallel 1,Parallel 1,EB01-034_p1,Memorial Collection,EB01/parallel/EB01-034_p1.png,0,0,0,0,0,0,0
EB01-038,base,Base,EB01-038,Memorial Collection,,1,0,0,0,0,0,0
EB01-038,parallel 1,Parallel 1,EB01-038_p1,One Piece Card The Best Vol.2,EB01/parallel/EB01-038_p1.png,0,0,0,0,0,0,0
EB01-038,r1,R1,EB01-038_r1,One Piece Card The Best Vol.2,EB01/base/EB01-038_r1.png,0,0,0,0,0,0,0
EB01-040,base,Base,EB01-040,Memorial Collection,,1,0,0,0,0,0,0
EB01-040,parallel 1,Parallel 1,EB01-040_p1,Memorial Collection,EB01/parallel/EB01-040_p1.png,0,0,0,0,0,0,0
EB01-040,parallel 2,Parallel 2,EB01-040_p2,Anime 25th Collection,EB01/parallel/EB01-040_p2.png,0,0,0,0,0,0,0
EB01-043,base,Base,EB01-043,Memorial Collection,,1,0,0,0,0,0,0
EB01-043,parallel 1,Parallel 1,EB01-043_p1,Promotion Card,EB01/parallel/EB01-043_p1.png,0,0,0,0,0,0,0
EB01-043,parallel 2,Parallel 2,EB01-043_p2,Promotion Card,EB01/parallel/EB01-043_p2.png,0,0,0,0,0,0,0
EB01-043,parallel 3,Parallel 3,EB01-043_p3,Promotion Card,EB01/parallel/EB01-043_p3.png,0,0,0,0,0,0,0
EB01-043,parallel 4,Parallel 4,EB01-043_p4,Promotion Card,EB01/parallel/EB01-043_p4.png,0,0,0,0,0,0,0
EB01-043,parallel 5,Parallel 5,EB01-043_p5,Promotion Card,EB01/parallel/EB01-043_p5.png,0,0,0,0,0,0,0
EB01-043,parallel 6,Parallel 6,EB01-043_p6,Promotion Card,EB01/parallel/EB01-043_p6.png,0,0,0,0,0,0,0
EB01-046,base,Base,EB01-046,Memorial Collection,,1,0,0,0,0,0,0
EB01-046,parallel 1,Parallel 1,EB01-046_p1,Memorial Collection,EB01/parallel/EB01-046_p1.png,0,0,0,0,0,0,0
EB01-046,r1,R1,EB01-046_r1,One Piece Card The Best Vol.2,EB01/base/EB01-046_r1.png,0,0,0,0,0,0,0
EB01-048,base,Base,EB01-048,Memorial Collection,,1,0,0,0,0,0,0
EB01-048,parallel 1,Parallel 1,EB01-048_p1,Memorial Collection,EB01/parallel/EB01-048_p1.png,0,0,0,0,0,0,0
EB01-048,parallel 2,Parallel 2,EB01-048_p2,Promotion Card,EB01/parallel/EB01-048_p2.png,0,0,0,0,0,0,0
EB01-048,r1,R1,EB01-048_r1,One Piece Card The Best Vol.2,EB01/base/EB01-048_r1.png,0,0,0,0,0,0,0
EB01-049,base,Base,EB01-049,Memorial Collection,,1,0,0,0,0,0,0
EB01-049,parallel 1,Parallel 1,EB01-049_p1,Memorial Collection,EB01/parallel/EB01-049_p1.png,0,0,0,0,0,0,0
EB01-051,base,Base,EB01-051,Memorial Collection,,1,0,0,0,0,0,0
EB01-051,parallel 1,Parallel 1,EB01-051_p1,One Piece Card The Best Vol.2,EB01/parallel/EB01-051_p1.png,0,0,0,0,0,0,0
EB01-051,r1,R1,EB01-051_r1,One Piece Card The Best Vol.2,EB01/base/EB01-051_r1.png,0,0,0,0,0,0,0
EB01-052,base,Base,EB01-052,Memorial Collection,,1,0,0,0,0,0,0
EB01-052,parallel 1,Parallel 1,EB01-052_p1,Memorial Collection,EB01/parallel/EB01-052_p1.png,0,0,0,0,0,0,0
EB01-056,base,Base,EB01-056,Memorial Collection,,1,0,0,0,0,0,0
EB01-056,parallel 1,Parallel 1,EB01-056_p1,Memorial Collection,EB01/parallel/EB01-056_p1.png,0,0,0,0,0,0,0
EB01-056,parallel 2,Parallel 2,EB01-056_p2,Royal Blood,EB01/parallel/EB01-056_p2.png,0,0,0,0,0,0,0
EB01-057,base,Base,EB01-057,Memorial Collection,EB01/sp/EB01-057_sp.png,1,1,0,0,0,0,0
EB01-057,parallel 1,Parallel 1,EB01-057_p1,Memorial Collection,EB01/parallel/EB01-057_p1.png,0,1,0,0,0,0,0
EB01-057,parallel 2,Parallel 2,EB01-057_p2,A Fist Of Divine Speed,EB01/parallel/EB01-057_p2.png,0,1,0,0,0,0,0
EB01-057,r1,R1,EB01-057_r1,One Piece Card The Best Vol.2,EB01/base/EB01-057_r1.png,0,1,0,0,0,0,0
EB01-060,base,Base,EB01-060,Memorial Collection,,1,0,0,0,0,0,0
EB01-060,parallel 1,Parallel 1,EB01-060_p1,One Piece Card The Best Vol.2,EB01/parallel/EB01-060_p1.png,0,0,0,0,0,0,0
EB01-060,r1,R1,EB01-060_r1,One Piece Card The Best Vol.2,EB01/base/EB01-060_r1.png,0,0,0,0,0,0,0
EB01-061,base,Base,EB01-061,Memorial Collection,,1,0,0,0,0,0,0
EB01-061,parallel 1,Parallel 1,EB01-061_p1,Memorial Collection,EB01/parallel/EB01-061_p1.png,0,0,0,0,0,0,0
EB01-061,r1,R1,EB01-061_r1,One Piece Card The Best Vol.2,EB01/base/EB01-061_r1.png,0,0,0,0,0,0,0
EB02-003,base,Base,EB02-003,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-003,parallel 1,Parallel 1,EB02-003_p1,Anime 25th Collection,EB02/parallel/EB02-003_p1.png,0,0,0,0,0,0,0
EB02-006,base,Base,EB02-006,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-006,parallel 1,Parallel 1,EB02-006_p1,Anime 25th Collection,EB02/parallel/EB02-006_p1.png,0,0,0,0,0,0,0
EB02-010,base,Base,EB02-010,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-010,parallel 1,Parallel 1,EB02-010_p1,Anime 25th Collection,EB02/parallel/EB02-010_p1.png,0,0,0,0,0,0,0
EB02-010,parallel 2,Parallel 2,EB02-010_p2,Promotion Card,EB02/parallel/EB02-010_p2.png,0,0,0,0,0,0,0
EB02-011,base,Base,EB02-011,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-011,parallel 1,Parallel 1,EB02-011_p1,Anime 25th Collection,EB02/parallel/EB02-011_p1.png,0,0,0,0,0,0,0
EB02-015,base,Base,EB02-015,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-015,parallel 1,Parallel 1,EB02-015_p1,Anime 25th Collection,EB02/parallel/EB02-015_p1.png,0,0,0,0,0,0,0
EB02-017,base,Base,EB02-017,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-017,parallel 1,Parallel 1,EB02-017_p1,Anime 25th Collection,EB02/parallel/EB02-017_p1.png,0,0,0,0,0,0,0
EB02-019,base,Base,EB02-019,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-019,parallel 1,Parallel 1,EB02-019_p1,Promotion Card,EB02/parallel/EB02-019_p1.png,0,0,0,0,0,0,0
EB02-019,parallel 2,Parallel 2,EB02-019_p2,Promotion Card,EB02/parallel/EB02-019_p2.png,0,0,0,0,0,0,0
EB02-022,base,Base,EB02-022,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-022,parallel 1,Parallel 1,EB02-022_p1,Anime 25th Collection,EB02/parallel/EB02-022_p1.png,0,0,0,0,0,0,0
EB02-026,base,Base,EB02-026,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-026,parallel 1,Parallel 1,EB02-026_p1,Anime 25th Collection,EB02/parallel/EB02-026_p1.png,0,0,0,0,0,0,0
EB02-026,parallel 2,Parallel 2,EB02-026_p2,Promotion Card,EB02/parallel/EB02-026_p2.png,0,0,0,0,0,0,0
EB02-028,base,Base,EB02-028,Anime 25th Collection,EB02/sp/EB02-028_sp.png,1,1,0,0,0,0,0
EB02-028,parallel 1,Parallel 1,EB02-028_p1,Carrying On His Will,EB02/parallel/EB02-028_p1.png,0,1,0,0,0,0,0
EB02-035,base,Base,EB02-035,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-035,parallel 1,Parallel 1,EB02-035_p1,Anime 25th Collection,EB02/parallel/EB02-035_p1.png,0,0,0,0,0,0,0
EB02-036,base,Base,EB02-036,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-036,parallel 1,Parallel 1,EB02-036_p1,Anime 25th Collection,EB02/parallel/EB02-036_p1.png,0,0,0,0,0,0,0
EB02-041,base,Base,EB02-041,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-041,parallel 1,Parallel 1,EB02-041_p1,Other Product Card,EB02/parallel/EB02-041_p1.png,0,0,0,0,0,0,0
EB02-044,base,Base,EB02-044,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-044,parallel 1,Parallel 1,EB02-044_p1,Anime 25th Collection,EB02/parallel/EB02-044_p1.png,0,0,0,0,0,0,0
EB02-045,base,Base,EB02-045,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-045,parallel 1,Parallel 1,EB02-045_p1,Anime 25th Collection,EB02/parallel/EB02-045_p1.png,0,0,0,0,0,0,0
EB02-048,base,Base,EB02-048,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-048,parallel 1,Parallel 1,EB02-048_p1,Anime 25th Collection,EB02/parallel/EB02-048_p1.png,0,0,0,0,0,0,0
EB02-052,base,Base,EB02-052,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-052,parallel 1,Parallel 1,EB02-052_p1,Anime 25th Collection,EB02/parallel/EB02-052_p1.png,0,0,0,0,0,0,0
EB02-054,base,Base,EB02-054,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-054,parallel 1,Parallel 1,EB02-054_p1,Anime 25th Collection,EB02/parallel/EB02-054_p1.png,0,0,0,0,0,0,0
EB02-055,base,Base,EB02-055,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-055,parallel 1,Parallel 1,EB02-055_p1,Promotion Card,EB02/parallel/EB02-055_p1.png,0,0,0,0,0,0,0
EB02-055,parallel 2,Parallel 2,EB02-055_p2,Promotion Card,EB02/parallel/EB02-055_p2.png,0,0,0,0,0,0,0
EB02-056,base,Base,EB02-056,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-056,parallel 1,Parallel 1,EB02-056_p1,Anime 25th Collection,EB02/parallel/EB02-056_p1.png,0,0,0,0,0,0,0
EB02-061,base,Base,EB02-061,Anime 25th Collection,,1,0,0,0,0,0,0
EB02-061,parallel 1,Parallel 1,EB02-061_p1,Anime 25th Collection,EB02/parallel/EB02-061_p1.png,0,0,0,0,0,0,0
EB02-061,parallel 2,Parallel 2,EB02-061_p2,Anime 25th Collection,EB02/parallel/EB02-061_p2.png,0,0,0,0,0,0,0
EB02-061,parallel 3,Parallel 3,EB02-061_p3,One Piece Card The Best Vol.2,EB02/parallel/EB02-061_p3.png,0,0,0,0,0,0,0
EB02-061,r1,R1,EB02-061_r1,One Piece Card The Best Vol.2,EB02/base/EB02-061_r1.png,0,0,0,0,0,0,0
EB03-001,base,Base,EB03-001,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-001,parallel 1,Parallel 1,EB03-001_p1,One Piece Heroines Edition,EB03/parallel/EB03-001_p1.png,0,0,0,0,0,0,0
EB03-003,base,Base,EB03-003,One Piece Heroines Edition,EB03/sp/EB03-003_sp.png,1,1,0,0,0,0,0
EB03-003,parallel 1,Parallel 1,EB03-003_p1,One Piece Heroines Edition,EB03/parallel/EB03-003_p1.png,0,1,0,0,0,0,0
EB03-003,parallel 2,Parallel 2,EB03-003_p2,One Piece Heroines Edition,EB03/parallel/EB03-003_p2.png,0,1,0,0,0,0,0
EB03-008,base,Base,EB03-008,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-008,parallel 1,Parallel 1,EB03-008_p1,One Piece Heroines Edition,EB03/parallel/EB03-008_p1.png,0,0,0,0,0,0,0
EB03-013,base,Base,EB03-013,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-013,parallel 1,Parallel 1,EB03-013_p1,One Piece Heroines Edition,EB03/parallel/EB03-013_p1.png,0,0,0,0,0,0,0
EB03-018,base,Base,EB03-018,One Piece Heroines Edition,EB03/sp/EB03-018_sp.png,1,1,0,0,0,0,0
EB03-018,parallel 1,Parallel 1,EB03-018_p1,One Piece Heroines Edition,EB03/parallel/EB03-018_p1.png,0,1,0,0,0,0,0
EB03-018,parallel 2,Parallel 2,EB03-018_p2,One Piece Heroines Edition,EB03/parallel/EB03-018_p2.png,0,1,0,0,0,0,0
EB03-024,base,Base,EB03-024,One Piece Heroines Edition,EB03/sp/EB03-024_sp.png,1,1,0,0,0,0,0
EB03-024,parallel 1,Parallel 1,EB03-024_p1,One Piece Heroines Edition,EB03/parallel/EB03-024_p1.png,0,1,0,0,0,0,0
EB03-024,parallel 2,Parallel 2,EB03-024_p2,One Piece Heroines Edition,EB03/parallel/EB03-024_p2.png,0,1,0,0,0,0,0
EB03-025,base,Base,EB03-025,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-025,parallel 1,Parallel 1,EB03-025_p1,One Piece Heroines Edition,EB03/parallel/EB03-025_p1.png,0,0,0,0,0,0,0
EB03-026,base,Base,EB03-026,One Piece Heroines Edition,EB03/sp/EB03-026_sp.png,1,1,0,0,0,0,0
EB03-026,parallel 1,Parallel 1,EB03-026_p1,One Piece Heroines Edition,EB03/parallel/EB03-026_p1.png,0,1,0,0,0,0,0
EB03-026,parallel 2,Parallel 2,EB03-026_p2,One Piece Heroines Edition,EB03/parallel/EB03-026_p2.png,0,1,0,0,0,0,0
EB03-031,base,Base,EB03-031,One Piece Heroines Edition,EB03/sp/EB03-031_sp.png,1,1,0,0,0,0,0
EB03-031,parallel 1,Parallel 1,EB03-031_p1,One Piece Heroines Edition,EB03/parallel/EB03-031_p1.png,0,1,0,0,0,0,0
EB03-031,parallel 2,Parallel 2,EB03-031_p2,One Piece Heroines Edition,EB03/parallel/EB03-031_p2.png,0,1,0,0,0,0,0
EB03-034,base,Base,EB03-034,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-034,parallel 1,Parallel 1,EB03-034_p1,One Piece Heroines Edition,EB03/parallel/EB03-034_p1.png,0,0,0,0,0,0,0
EB03-041,base,Base,EB03-041,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-041,parallel 1,Parallel 1,EB03-041_p1,One Piece Heroines Edition,EB03/parallel/EB03-041_p1.png,0,0,0,0,0,0,0
EB03-042,base,Base,EB03-042,One Piece Heroines Edition,EB03/sp/EB03-042_sp.png,1,1,0,0,0,0,0
EB03-042,parallel 1,Parallel 1,EB03-042_p1,One Piece Heroines Edition,EB03/parallel/EB03-042_p1.png,0,1,0,0,0,0,0
EB03-042,parallel 2,Parallel 2,EB03-042_p2,One Piece Heroines Edition,EB03/parallel/EB03-042_p2.png,0,1,0,0,0,0,0
EB03-045,base,Base,EB03-045,One Piece Heroines Edition,EB03/sp/EB03-045_sp.png,1,1,0,0,0,0,0
EB03-045,parallel 1,Parallel 1,EB03-045_p1,One Piece Heroines Edition,EB03/parallel/EB03-045_p1.png,0,1,0,0,0,0,0
EB03-045,parallel 2,Parallel 2,EB03-045_p2,One Piece Heroines Edition,EB03/parallel/EB03-045_p2.png,0,1,0,0,0,0,0
EB03-053,base,Base,EB03-053,One Piece Heroines Edition,EB03/sp/EB03-053_sp.png,1,1,0,0,0,0,0
EB03-053,parallel 1,Parallel 1,EB03-053_p1,One Piece Heroines Edition,EB03/parallel/EB03-053_p1.png,0,1,0,0,0,0,0
EB03-053,parallel 2,Parallel 2,EB03-053_p2,One Piece Heroines Edition,EB03/parallel/EB03-053_p2.png,0,1,0,0,0,0,0
EB03-055,base,Base,EB03-055,One Piece Heroines Edition,EB03/sp/EB03-055_sp.png,1,1,0,0,0,0,0
EB03-055,parallel 1,Parallel 1,EB03-055_p1,One Piece Heroines Edition,EB03/parallel/EB03-055_p1.png,0,1,0,0,0,0,0
EB03-055,parallel 2,Parallel 2,EB03-055_p2,One Piece Heroines Edition,EB03/parallel/EB03-055_p2.png,0,1,0,0,0,0,0
EB03-057,base,Base,EB03-057,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-057,parallel 1,Parallel 1,EB03-057_p1,One Piece Heroines Edition,EB03/parallel/EB03-057_p1.png,0,0,0,0,0,0,0
EB03-061,base,Base,EB03-061,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-061,parallel 1,Parallel 1,EB03-061_p1,One Piece Heroines Edition,EB03/parallel/EB03-061_p1.png,0,0,0,0,0,0,0
EB03-061,parallel 2,Parallel 2,EB03-061_p2,One Piece Heroines Edition,EB03/parallel/EB03-061_p2.png,0,0,0,0,0,0,0
EB03-062,base,Base,EB03-062,One Piece Heroines Edition,,1,0,0,0,0,0,0
EB03-062,parallel 1,Parallel 1,EB03-062_p1,One Piece Heroines Edition,EB03/parallel/EB03-062_p1.png,0,0,0,0,0,0,0
EB04-012,base,Base,EB04-012,The Azure Sea’s Seven,,1,0,0,0,0,0,0
EB04-012,parallel 1,Parallel 1,EB04-012_p1,The Azure Sea’s Seven,EB04/parallel/EB04-012_p1.png,0,0,0,0,0,0,0
EB04-013,base,Base,EB04-013,The Azure Sea’s Seven,,1,0,0,0,0,0,0
EB04-013,parallel 1,Parallel 1,EB04-013_p1,The Azure Sea’s Seven,EB04/parallel/EB04-013_p1.png,0,0,0,0,0,0,0
EB04-018,base,Base,EB04-018,The Azure Sea’s Seven,,1,0,0,0,0,0,0
EB04-018,parallel 1,Parallel 1,EB04-018_p1,The Azure Sea’s Seven,EB04/parallel/EB04-018_p1.png,0,0,0,0,0,0,0
EB04-022,base,Base,EB04-022,The Azure Sea’s Seven,,1,0,0,0,0,0,0
EB04-022,parallel 1,Parallel 1,EB04-022_p1,The Azure Sea’s Seven,EB04/parallel/EB04-022_p1.png,0,0,0,0,0,0,0
EB04-025,base,Base,EB04-025,The Azure Sea’s Seven,,1,0,0,0,0,0,0
EB04-025,parallel 1,Parallel 1,EB04-025_p1,The Azure Sea’s Seven,EB04/parallel/EB04-025_p1.png,0,0,0,0,0,0,0
EB04-031,base,Base,EB04-031,The Azure Sea’s Seven,,1,0,0,0,0,0,0
EB04-031,parallel 1,Parallel 1,EB04-031_p1,The Azure Sea’s Seven,EB04/parallel/EB04-031_p1.png,0,0,0,0,0,0,0
EB04-036,base,Base,EB04-036,The Azure Sea’s Seven,,1,0,0,0,0,0,0
EB04-036,parallel 1,Parallel 1,EB04-036_p1,The Azure Sea’s Seven,EB04/parallel/EB04-036_p1.png,0,0,0,0,0,0,0
EB04-038,base,Base,EB04-038,The Azure Sea’s Seven,,1,0,0,0,0,0,0
EB04-038,parallel 1,Parallel 1,EB04-038_p1,The Azure Sea’s Seven,EB04/parallel/EB04-038_p1.png,0,0,0,0,0,0,0
EB04-039,base,Base,EB04-039,The Azure Sea’s Seven,EB04/base/EB04-039.png,1,0,0,0,0,0,0
EB04-039,parallel 1,Parallel 1,EB04-039_p1,The Azure Sea’s Seven,EB04/parallel/EB04-039_p1.png,0,0,0,0,0,0,0
OP01-001,base,Base,OP01-001,Romance Dawn,,1,0,0,0,0,0,0
OP01-001,parallel 1,Parallel 1,OP01-001_p1,Romance Dawn,OP01/parallel/OP01-001_p1.png,0,0,0,0,0,0,0
OP01-001,parallel 2,Parallel 2,OP01-001_p2,Other Product Card,OP01/parallel/OP01-001_p2.png,0,0,0,0,0,0,0
OP01-002,base,Base,OP01-002,Romance Dawn,,1,0,0,0,0,0,0
OP01-002,parallel 1,Parallel 1,OP01-002_p1,Romance Dawn,OP01/parallel/OP01-002_p1.png,0,0,0,0,0,0,0
OP01-003,base,Base,OP01-003,Romance Dawn,,1,0,0,0,0,0,0
OP01-003,parallel 1,Parallel 1,OP01-003_p1,Romance Dawn,OP01/parallel/OP01-003_p1.png,0,0,0,0,0,0,0
OP01-004,base,Base,OP01-004,Romance Dawn,,1,0,0,0,0,0,0
OP01-004,parallel 1,Parallel 1,OP01-004_p1,Other Product Card,OP01/parallel/OP01-004_p1.png,0,0,0,0,0,0,0
OP01-005,base,Base,OP01-005,Romance Dawn,,1,0,0,0,0,0,0
OP01-005,parallel 1,Parallel 1,OP01-005_p1,Other Product Card,OP01/parallel/OP01-005_p1.png,0,0,0,0,0,0,0
OP01-005,parallel 2,Parallel 2,OP01-005_p2,Other Product Card,OP01/parallel/OP01-005_p2.png,0,0,0,0,0,0,0
OP01-006,base,Base,OP01-006,Romance Dawn,,1,0,0,0,0,0,0
OP01-006,parallel 1,Parallel 1,OP01-006_p1,Other Product Card,OP01/parallel/OP01-006_p1.png,0,0,0,0,0,0,0
OP01-006,parallel 3,Parallel 3,OP01-006_p3,One Piece Card The Best,OP01/parallel/OP01-006_p3.png,0,0,0,0,0,0,0
OP01-006,parallel 4,Parallel 4,OP01-006_p4,One Piece Card The Best,OP01/parallel/OP01-006_p4.png,0,0,0,0,0,0,0
OP01-006,parallel 5,Parallel 5,OP01-006_p5,One Piece Card The Best,OP01/parallel/OP01-006_p5.png,0,0,0,0,0,0,0
OP01-006,r1,R1,OP01-006_r1,One Piece Card The Best,OP01/base/OP01-006_r1.png,0,0,0,0,0,0,0
OP01-008,base,Base,OP01-008,Romance Dawn,,1,0,0,0,0,0,0
OP01-008,parallel 1,Parallel 1,OP01-008_p1,Romance Dawn,OP01/parallel/OP01-008_p1.png,0,0,0,0,0,0,0
OP01-013,base,Base,OP01-013,Romance Dawn,,1,0,0,0,0,0,0
OP01-013,parallel 1,Parallel 1,OP01-013_p1,Romance Dawn,OP01/parallel/OP01-013_p1.png,0,0,0,0,0,0,0
OP01-013,parallel 2,Parallel 2,OP01-013_p2,Other Product Card,OP01/parallel/OP01-013_p2.png,0,0,0,0,0,0,0
