cards_table_id,card_canonical_code,card_name,card_rarity,card_source,cv_card_variant_id,cv_card_variants_card_id,cv_print_id,cv_tcgplayer_product_id,cv_variant,cv_variant_label,cv_variant_source,cv_image_path,cv_image_url,printing_market_map_id,printing_id,printing_market_map_market_product_internal_fk,pmm_mapping_confidence,pmm_mapping_method,mp_market_products_internal_id,mp_market_product_id,mp_product_name,mp_clean_name,mp_ext_number,mp_rarity_market,mp_subtype,mp_market_product_source,mpr_market_prices_id,market_product_fk,mpr_low_price,mpr_mid_price,mpr_high_price,mpr_market_price,mpr_direct_low_price,mpr_listed_median_price,mpr_captured_at,mpr_mpr_source_name,print_id_trim,has_printing_market_map,has_market_product_via_map,has_market_price_via_chain,has_tcgplayer_column_price,has_variant_image_fields,has_image_assets_row,failure_stage
5,EB01-005,Doma,C,,19,5,EB01-005,,base,Base,official-cardlist,EB01/base/EB01-005.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-005.png?260305,2173,19,2715,HIGH,exact_code_plus_base_flag,2715,544529,Doma,Doma,EB01-005,C,,tcgcsv,2523,2715,0.01,0.15,1.58,0.05,,,2026-04-02 03:06:18,tcgcsv,EB01-005,1,1,1,0,1,0,missing_tcgplayer_product_id_only
6,EB01-006,Tony Tony.Chopper,SR,,21,6,EB01-006,,base,Base,official-cardlist,EB01/base/EB01-006.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006.png?260305,1021,21,1420,HIGH,exact_code_plus_base_flag,1420,590986,Tony Tony.Chopper (Treasure Cup 2024),Tony TonyChopper Treasure Cup 2024,EB01-006,SR,,tcgcsv,1313,1420,2299.99,2300.0,2500.0,923.8,,,2026-04-02 03:06:17,tcgcsv,EB01-006,1,1,1,0,1,0,missing_tcgplayer_product_id_only
6,EB01-006,Tony Tony.Chopper,SR,,23,6,EB01-006::alt,,alt,Alt,local-catalog,thumbs/EB01-006alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-006::alt,0,0,0,0,1,0,missing_printing_market_map
6,EB01-006,Tony Tony.Chopper,SR,,24,6,EB01-006::manga,,mr,Manga,local-catalog,thumbs/EB01-006 Manga Rare.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-006::manga,0,0,0,0,1,0,missing_printing_market_map
6,EB01-006,Tony Tony.Chopper,SR,,25,6,EB01-006_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-006_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-006_p1,0,0,0,0,1,0,missing_printing_market_map
6,EB01-006,Tony Tony.Chopper,SR,,26,6,EB01-006_p2,,parallel_2,Parallel 2,official-cardlist,EB01/parallel/EB01-006_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p2.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-006_p2,0,0,0,0,1,0,missing_printing_market_map
6,EB01-006,Tony Tony.Chopper,SR,,27,6,EB01-006_p3,,parallel_3,Parallel 3,official-cardlist,_unclassified/parallel/EB01-006_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_p3.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-006_p3,0,0,0,0,1,0,missing_printing_market_map
6,EB01-006,Tony Tony.Chopper,SR,,28,6,EB01-006_r1,,r1,R1,official-cardlist,PRB01/reprint/EB01-006_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-006_r1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-006_r1,0,0,0,0,1,0,missing_printing_market_map
7,EB01-007,Yamato,C,,29,7,EB01-007,,base,Base,official-cardlist,EB01/base/EB01-007.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-007.png?260305,1270,29,1718,HIGH,exact_code_plus_base_flag,1718,649682,Yamato (Premium Card Collection -Best Selection Vol. 4-),Yamato Premium Card Collection Best Selection Vol 4,EB01-007,C,,tcgcsv,1573,1718,8.99,10.18,39.0,9.31,,,2026-04-02 03:06:17,tcgcsv,EB01-007,1,1,1,0,1,0,missing_tcgplayer_product_id_only
7,EB01-007,Yamato,C,,31,7,EB01-007_p1,,parallel_1,Parallel 1,official-cardlist,BCV4/parallel/EB01-007_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-007_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-007_p1,0,0,0,0,1,0,missing_printing_market_map
8,EB01-008,LittleOars Jr.,R,,32,8,EB01-008,,base,Base,official-cardlist,EB01/base/EB01-008.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-008.png?260305,2178,32,2720,HIGH,exact_code_plus_base_flag,2720,544534,LittleOars Jr.,LittleOars Jr,EB01-008,R,,tcgcsv,2528,2720,0.05,0.25,25.0,0.16,,,2026-04-02 03:06:18,tcgcsv,EB01-008,1,1,1,0,1,0,missing_tcgplayer_product_id_only
9,EB01-009,Just Shut Up and Come with Us!!!!,C,,34,9,EB01-009,,base,Base,official-cardlist,EB01/base/EB01-009.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009.png?260305,2179,34,2721,HIGH,exact_code_plus_base_flag,2721,544535,Just Shut Up and Come with Us!!!!,Just Shut Up and Come with Us,EB01-009,C,,tcgcsv,2529,2721,0.06,0.24,2.75,0.12,,,2026-04-02 03:06:18,tcgcsv,EB01-009,1,1,1,0,1,0,missing_tcgplayer_product_id_only
9,EB01-009,Just Shut Up and Come with Us!!!!,C,,36,9,EB01-009_p1,,parallel_1,Parallel 1,official-cardlist,PRB02/parallel/EB01-009_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-009_p1,0,0,0,0,1,0,missing_printing_market_map
9,EB01-009,Just Shut Up and Come with Us!!!!,C,,37,9,EB01-009_r1,,r1,R1,official-cardlist,PRB02/reprint/EB01-009_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-009_r1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-009_r1,0,0,0,0,1,0,missing_printing_market_map
10,EB01-010,There's No Way You Could Defeat Me!!,R,,38,10,EB01-010,,base,Base,official-cardlist,EB01/base/EB01-010.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-010.png?260305,2180,38,2722,HIGH,exact_code_plus_base_flag,2722,544536,There's No Way You Could Defeat Me!!,Theres No Way You Could Defeat Me,EB01-010,R,,tcgcsv,2530,2722,0.1,0.26,25.0,0.22,,,2026-04-02 03:06:18,tcgcsv,EB01-010,1,1,1,0,1,0,missing_tcgplayer_product_id_only
11,EB01-011,Mini-Merry,C,,40,11,EB01-011,,base,Base,official-cardlist,EB01/base/EB01-011.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-011.png?260305,2181,40,2723,HIGH,exact_code_plus_base_flag,2723,544537,Mini-Merry,Mini Merry,EB01-011,C,,tcgcsv,2531,2723,0.01,0.15,5.0,0.06,,,2026-04-02 03:06:18,tcgcsv,EB01-011,1,1,1,0,1,0,missing_tcgplayer_product_id_only
12,EB01-012,Cavendish,SR,,42,12,EB01-012,,base,Base,official-cardlist,EB01/base/EB01-012.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012.png?260305,1022,42,1421,HIGH,exact_code_plus_base_flag,1421,590988,Cavendish (Treasure Cup 2024),Cavendish Treasure Cup 2024,EB01-012,SR,,tcgcsv,1314,1421,1499.99,1799.49,1799.5,1850.0,,,2026-04-02 03:06:17,tcgcsv,EB01-012,1,1,1,0,1,0,missing_tcgplayer_product_id_only
12,EB01-012,Cavendish,SR,,44,12,EB01-012::alt,,alt,Alt,local-catalog,thumbs/EB01-012alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-012::alt,0,0,0,0,1,0,missing_printing_market_map
12,EB01-012,Cavendish,SR,,45,12,EB01-012::alt art 2,,alt,Alt Art 2,local-catalog,thumbs/EB01-012alt2.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-012::alt art 2,0,0,0,0,1,0,missing_printing_market_map
12,EB01-012,Cavendish,SR,,46,12,EB01-012_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-012_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-012_p1,0,0,0,0,1,0,missing_printing_market_map
12,EB01-012,Cavendish,SR,,47,12,EB01-012_p3,,parallel_3,Parallel 3,official-cardlist,EB01/parallel/EB01-012_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_p3.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-012_p3,0,0,0,0,1,0,missing_printing_market_map
12,EB01-012,Cavendish,SR,,48,12,EB01-012_r1,,r1,R1,official-cardlist,PRB02/reprint/EB01-012_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012_r1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-012_r1,0,0,0,0,1,0,missing_printing_market_map
13,EB01-013,Kouzuki Hiyori,R,,49,13,EB01-013,,base,Base,official-cardlist,EB01/base/EB01-013.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013.png?260305,2184,49,2726,HIGH,exact_code_plus_base_flag,2726,544540,Kouzuki Hiyori,Kouzuki Hiyori,EB01-013,R,,tcgcsv,2534,2726,2.99,5.06,50.0,4.6,,,2026-04-02 03:06:18,tcgcsv,EB01-013,1,1,1,0,1,0,missing_tcgplayer_product_id_only
13,EB01-013,Kouzuki Hiyori,R,,51,13,EB01-013::alt,,alt,Alt,local-catalog,thumbs/EB01-013alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-013::alt,0,0,0,0,1,0,missing_printing_market_map
13,EB01-013,Kouzuki Hiyori,R,,52,13,EB01-013_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-013_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-013_p1,0,0,0,0,1,0,missing_printing_market_map
14,EB01-014,Sanji,R,,53,14,EB01-014,,base,Base,official-cardlist,EB01/base/EB01-014.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-014.png?260305,1036,53,1439,HIGH,exact_code_plus_base_flag,1439,607971,Sanji (Winner Pack 2025 Vol. 1),Sanji Winner Pack 2025 Vol 1,EB01-014,R,,tcgcsv,1332,1439,6.35,9.0,29.95,8.65,,,2026-04-02 03:06:17,tcgcsv,EB01-014,1,1,1,0,1,0,missing_tcgplayer_product_id_only
14,EB01-014,Sanji,R,,55,14,EB01-014::alt,,alt,Alt,local-catalog,thumbs/EB01-014alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-014::alt,0,0,0,0,1,0,missing_printing_market_map
14,EB01-014,Sanji,R,,56,14,EB01-014_p1,,parallel_1,Parallel 1,official-cardlist,CS2526CP/parallel/EB01-014_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-014_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-014_p1,0,0,0,0,1,0,missing_printing_market_map
15,EB01-015,Scratchmen Apoo,R,,57,15,EB01-015,,base,Base,official-cardlist,EB01/base/EB01-015.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015.png?260305,1089,57,1516,HIGH,exact_code_plus_base_flag,1516,622592,Scratchmen Apoo (Tournament Pack 2025 Vol. 2),Scratchmen Apoo Tournament Pack 2025 Vol 2,EB01-015,R,,tcgcsv,1405,1516,0.12,0.3,2.9,0.26,,,2026-04-02 03:06:17,tcgcsv,EB01-015,1,1,1,0,1,0,missing_tcgplayer_product_id_only
15,EB01-015,Scratchmen Apoo,R,,59,15,EB01-015::alt,,alt,Alt,local-catalog,thumbs/EB01-015alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-015::alt,0,0,0,0,1,0,missing_printing_market_map
15,EB01-015,Scratchmen Apoo,R,,60,15,EB01-015_p1,,parallel_1,Parallel 1,official-cardlist,TK2025V2/parallel/EB01-015_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-015_p1,0,0,0,0,1,0,missing_printing_market_map
15,EB01-015,Scratchmen Apoo,R,,61,15,EB01-015_p2,,parallel_2,Parallel 2,official-cardlist,_unclassified/parallel/EB01-015_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p2.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-015_p2,0,0,0,0,1,0,missing_printing_market_map
15,EB01-015,Scratchmen Apoo,R,,62,15,EB01-015_p3,,parallel_3,Parallel 3,official-cardlist,ST24/parallel/EB01-015_p3.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p3.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-015_p3,0,0,0,0,1,0,missing_printing_market_map
15,EB01-015,Scratchmen Apoo,R,,63,15,EB01-015_p4,,parallel_4,Parallel 4,official-cardlist,CS2526CP/parallel/EB01-015_p4.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p4.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-015_p4,0,0,0,0,1,0,missing_printing_market_map
15,EB01-015,Scratchmen Apoo,R,,64,15,EB01-015_p5,,parallel_5,Parallel 5,official-cardlist,PRB02/parallel/EB01-015_p5.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_p5.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-015_p5,0,0,0,0,1,0,missing_printing_market_map
15,EB01-015,Scratchmen Apoo,R,,65,15,EB01-015::prb02,,alt,Prb02,local-catalog,thumbs/EB01-015(PRB02).webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-015::prb02,0,0,0,0,1,0,missing_printing_market_map
15,EB01-015,Scratchmen Apoo,R,,66,15,EB01-015_r1,,r1,R1,official-cardlist,PRB02/reprint/EB01-015_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015_r1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-015_r1,0,0,0,0,1,0,missing_printing_market_map
16,EB01-016,Bingoh,C,,67,16,EB01-016,,base,Base,official-cardlist,EB01/base/EB01-016.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-016.png?260305,2188,67,2730,HIGH,exact_code_plus_base_flag,2730,544544,Bingoh,Bingoh,EB01-016,C,,tcgcsv,2538,2730,0.01,0.11,1.52,0.03,,,2026-04-02 03:06:18,tcgcsv,EB01-016,1,1,1,0,1,0,missing_tcgplayer_product_id_only
17,EB01-017,Blueno,C,,69,17,EB01-017,,base,Base,official-cardlist,EB01/base/EB01-017.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-017.png?260305,2189,69,2731,HIGH,exact_code_plus_base_flag,2731,544545,Blueno (017),Blueno 017,EB01-017,C,,tcgcsv,2539,2731,0.01,0.15,1.98,0.07,,,2026-04-02 03:06:18,tcgcsv,EB01-017,1,1,1,0,1,0,missing_tcgplayer_product_id_only
18,EB01-018,Mountain God,C,,71,18,EB01-018,,base,Base,official-cardlist,EB01/base/EB01-018.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018.png?260305,2190,71,2732,HIGH,exact_code_plus_base_flag,2732,544546,Mountain God,Mountain God,EB01-018,C,,tcgcsv,2540,2732,0.01,0.15,1.58,0.06,,,2026-04-02 03:06:18,tcgcsv,EB01-018,1,1,1,0,1,0,missing_tcgplayer_product_id_only
18,EB01-018,Mountain God,C,,73,18,EB01-018_p1,,parallel_1,Parallel 1,official-cardlist,PRB02/parallel/EB01-018_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-018_p1,0,0,0,0,1,0,missing_printing_market_map
18,EB01-018,Mountain God,C,,74,18,EB01-018_r1,,r1,R1,official-cardlist,PRB02/reprint/EB01-018_r1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018_r1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-018_r1,0,0,0,0,1,0,missing_printing_market_map
19,EB01-019,Off-White,R,,75,19,EB01-019,,base,Base,official-cardlist,EB01/base/EB01-019.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-019.png?260305,2191,75,2733,HIGH,exact_code_plus_base_flag,2733,544547,Off-White,Off White,EB01-019,R,,tcgcsv,2541,2733,0.25,0.5,25.0,0.43,,,2026-04-02 03:06:18,tcgcsv,EB01-019,1,1,1,0,1,0,missing_tcgplayer_product_id_only
20,EB01-020,Chambres,C,,77,20,EB01-020,,base,Base,official-cardlist,EB01/base/EB01-020.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-020.png?260305,2192,77,2734,HIGH,exact_code_plus_base_flag,2734,544548,Chambres,Chambres,EB01-020,C,,tcgcsv,2542,2734,0.01,0.15,1.6,0.07,,,2026-04-02 03:06:18,tcgcsv,EB01-020,1,1,1,0,1,0,missing_tcgplayer_product_id_only
21,EB01-021,Hannyabal,L,,79,21,EB01-021,,base,Base,official-cardlist,EB01/base/EB01-021.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021.png?260305,2193,79,2735,HIGH,exact_code_plus_base_flag,2735,544549,Hannyabal,Hannyabal,EB01-021,L,,tcgcsv,2543,2735,0.05,0.2,5.0,0.16,,,2026-04-02 03:06:18,tcgcsv,EB01-021,1,1,1,0,1,0,missing_tcgplayer_product_id_only
21,EB01-021,Hannyabal,L,,81,21,EB01-021::alt,,alt,Alt,local-catalog,thumbs/EB01-021alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-021::alt,0,0,0,0,1,0,missing_printing_market_map
21,EB01-021,Hannyabal,L,,82,21,EB01-021_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-021_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-021_p1,0,0,0,0,1,0,missing_printing_market_map
21,EB01-021,Hannyabal,L,,83,21,EB01-021_p2,,parallel_2,Parallel 2,official-cardlist,EB02/parallel/EB01-021_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021_p2.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-021_p2,0,0,0,0,1,0,missing_printing_market_map
22,EB01-022,Inazuma,SR,,84,22,EB01-022,,base,Base,official-cardlist,EB01/base/EB01-022.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022.png?260305,2195,84,2737,HIGH,exact_code_plus_base_flag,2737,544551,Inazuma,Inazuma,EB01-022,SR,,tcgcsv,2545,2737,1.0,4.97,25.0,4.51,,,2026-04-02 03:06:18,tcgcsv,EB01-022,1,1,1,0,1,0,missing_tcgplayer_product_id_only
22,EB01-022,Inazuma,SR,,86,22,EB01-022::alt,,alt,Alt,local-catalog,thumbs/EB01-022alt.webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-022::alt,0,0,0,0,1,0,missing_printing_market_map
22,EB01-022,Inazuma,SR,,87,22,EB01-022_p1,,parallel_1,Parallel 1,official-cardlist,EB01/parallel/EB01-022_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-022_p1,0,0,0,0,1,0,missing_printing_market_map
23,EB01-023,Edward Weevil,R,EB01,88,23,EB01-023,,base,Base,official-cardlist,EB01/sp/EB01-023_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023.png?260305,954,88,1348,HIGH,exact_code_plus_base_flag,1348,583745,Edward Weevil (Judge Pack Vol. 4),Edward Weevil Judge Pack Vol 4,EB01-023,R,,tcgcsv,1251,1348,0.5,2.25,28.95,1.39,,,2026-04-02 03:06:17,tcgcsv,EB01-023,1,1,1,0,1,0,missing_tcgplayer_product_id_only
23,EB01-023,Edward Weevil,R,EB01,90,23,EB01-023_p1,,parallel_1,Parallel 1,official-cardlist,EB04/parallel/EB01-023_p1.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023_p1.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-023_p1,0,0,0,0,1,0,missing_printing_market_map
23,EB01-023,Edward Weevil,R,EB01,91,23,EB01-023_p2,,parallel_2,Parallel 2,official-cardlist,SWBS01/parallel/EB01-023_p2.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023_p2.png?260305,,,,,,,,,,,,,,,,,,,,,,,,EB01-023_p2,0,0,0,0,1,0,missing_printing_market_map
23,EB01-023,Edward Weevil,R,EB01,92,23,EB01-023::sp,,sp,SP,local-catalog,thumbs/EB01-023(SP).webp,,,,,,,,,,,,,,,,,,,,,,,,,EB01-023::sp,0,0,0,0,1,0,missing_printing_market_map
24,EB01-024,Hamlet,C,,93,24,EB01-024,,base,Base,official-cardlist,EB01/base/EB01-024.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-024.png?260305,2198,93,2740,HIGH,exact_code_plus_base_flag,2740,544554,Hamlet,Hamlet,EB01-024,C,,tcgcsv,2548,2740,0.01,0.12,1.5,0.05,,,2026-04-02 03:06:18,tcgcsv,EB01-024,1,1,1,0,1,0,missing_tcgplayer_product_id_only
25,EB01-025,Fourtricks,C,,95,25,EB01-025,,base,Base,official-cardlist,EB01/base/EB01-025.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-025.png?260305,2199,95,2741,HIGH,exact_code_plus_base_flag,2741,544555,Fourtricks,Fourtricks,EB01-025,C,,tcgcsv,2549,2741,0.01,0.15,1.6,0.04,,,2026-04-02 03:06:18,tcgcsv,EB01-025,1,1,1,0,1,0,missing_tcgplayer_product_id_only
