card_id,card_canonical_code,card_name,card_rarity,card_source,cv_card_variant_id,cv_card_variants_card_id,cv_print_id,cv_tcgplayer_product_id,cv_variant,cv_variant_label,cv_variant_source,cv_image_path,cv_image_url,printing_market_map_id,printing_id,printing_market_map_market_product_internal_fk,pmm_mapping_confidence,pmm_mapping_method,mp_market_products_internal_id,mp_market_product_id,mp_product_name,mp_clean_name,mp_ext_number,mp_rarity_market,mp_subtype,mp_market_product_source,mpr_market_prices_id,market_product_fk,mpr_low_price,mpr_mid_price,mpr_high_price,mpr_market_price,mpr_direct_low_price,mpr_listed_median_price,mpr_captured_at,mpr_mpr_source_name,print_id_trim,has_printing_market_map,has_market_product_via_map,has_market_price_via_chain,has_tcgplayer_column_price,has_variant_image_fields,has_image_assets_row,failure_stage,recoverable_reason
10,EB01-010,There's No Way You Could Defeat Me!!,R,,38,10,EB01-010,,base,Base,official-cardlist,EB01/base/EB01-010.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-010.png?260305,2180,38,2722,HIGH,exact_code_plus_base_flag,2722,544536,There's No Way You Could Defeat Me!!,Theres No Way You Could Defeat Me,EB01-010,R,,tcgcsv,2530,2722,0.1,0.26,25.0,0.22,,,2026-04-02 03:06:18,tcgcsv,EB01-010,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
11,EB01-011,Mini-Merry,C,,40,11,EB01-011,,base,Base,official-cardlist,EB01/base/EB01-011.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-011.png?260305,2181,40,2723,HIGH,exact_code_plus_base_flag,2723,544537,Mini-Merry,Mini Merry,EB01-011,C,,tcgcsv,2531,2723,0.01,0.15,5.0,0.06,,,2026-04-02 03:06:18,tcgcsv,EB01-011,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
12,EB01-012,Cavendish,SR,,42,12,EB01-012,,base,Base,official-cardlist,EB01/base/EB01-012.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-012.png?260305,1022,42,1421,HIGH,exact_code_plus_base_flag,1421,590988,Cavendish (Treasure Cup 2024),Cavendish Treasure Cup 2024,EB01-012,SR,,tcgcsv,1314,1421,1499.99,1799.49,1799.5,1850.0,,,2026-04-02 03:06:17,tcgcsv,EB01-012,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
13,EB01-013,Kouzuki Hiyori,R,,49,13,EB01-013,,base,Base,official-cardlist,EB01/base/EB01-013.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-013.png?260305,2184,49,2726,HIGH,exact_code_plus_base_flag,2726,544540,Kouzuki Hiyori,Kouzuki Hiyori,EB01-013,R,,tcgcsv,2534,2726,2.99,5.06,50.0,4.6,,,2026-04-02 03:06:18,tcgcsv,EB01-013,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
14,EB01-014,Sanji,R,,53,14,EB01-014,,base,Base,official-cardlist,EB01/base/EB01-014.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-014.png?260305,1036,53,1439,HIGH,exact_code_plus_base_flag,1439,607971,Sanji (Winner Pack 2025 Vol. 1),Sanji Winner Pack 2025 Vol 1,EB01-014,R,,tcgcsv,1332,1439,6.35,9.0,29.95,8.65,,,2026-04-02 03:06:17,tcgcsv,EB01-014,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
15,EB01-015,Scratchmen Apoo,R,,57,15,EB01-015,,base,Base,official-cardlist,EB01/base/EB01-015.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-015.png?260305,1089,57,1516,HIGH,exact_code_plus_base_flag,1516,622592,Scratchmen Apoo (Tournament Pack 2025 Vol. 2),Scratchmen Apoo Tournament Pack 2025 Vol 2,EB01-015,R,,tcgcsv,1405,1516,0.12,0.3,2.9,0.26,,,2026-04-02 03:06:17,tcgcsv,EB01-015,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
16,EB01-016,Bingoh,C,,67,16,EB01-016,,base,Base,official-cardlist,EB01/base/EB01-016.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-016.png?260305,2188,67,2730,HIGH,exact_code_plus_base_flag,2730,544544,Bingoh,Bingoh,EB01-016,C,,tcgcsv,2538,2730,0.01,0.11,1.52,0.03,,,2026-04-02 03:06:18,tcgcsv,EB01-016,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
17,EB01-017,Blueno,C,,69,17,EB01-017,,base,Base,official-cardlist,EB01/base/EB01-017.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-017.png?260305,2189,69,2731,HIGH,exact_code_plus_base_flag,2731,544545,Blueno (017),Blueno 017,EB01-017,C,,tcgcsv,2539,2731,0.01,0.15,1.98,0.07,,,2026-04-02 03:06:18,tcgcsv,EB01-017,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
18,EB01-018,Mountain God,C,,71,18,EB01-018,,base,Base,official-cardlist,EB01/base/EB01-018.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-018.png?260305,2190,71,2732,HIGH,exact_code_plus_base_flag,2732,544546,Mountain God,Mountain God,EB01-018,C,,tcgcsv,2540,2732,0.01,0.15,1.58,0.06,,,2026-04-02 03:06:18,tcgcsv,EB01-018,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
19,EB01-019,Off-White,R,,75,19,EB01-019,,base,Base,official-cardlist,EB01/base/EB01-019.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-019.png?260305,2191,75,2733,HIGH,exact_code_plus_base_flag,2733,544547,Off-White,Off White,EB01-019,R,,tcgcsv,2541,2733,0.25,0.5,25.0,0.43,,,2026-04-02 03:06:18,tcgcsv,EB01-019,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
20,EB01-020,Chambres,C,,77,20,EB01-020,,base,Base,official-cardlist,EB01/base/EB01-020.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-020.png?260305,2192,77,2734,HIGH,exact_code_plus_base_flag,2734,544548,Chambres,Chambres,EB01-020,C,,tcgcsv,2542,2734,0.01,0.15,1.6,0.07,,,2026-04-02 03:06:18,tcgcsv,EB01-020,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
21,EB01-021,Hannyabal,L,,79,21,EB01-021,,base,Base,official-cardlist,EB01/base/EB01-021.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-021.png?260305,2193,79,2735,HIGH,exact_code_plus_base_flag,2735,544549,Hannyabal,Hannyabal,EB01-021,L,,tcgcsv,2543,2735,0.05,0.2,5.0,0.16,,,2026-04-02 03:06:18,tcgcsv,EB01-021,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
22,EB01-022,Inazuma,SR,,84,22,EB01-022,,base,Base,official-cardlist,EB01/base/EB01-022.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-022.png?260305,2195,84,2737,HIGH,exact_code_plus_base_flag,2737,544551,Inazuma,Inazuma,EB01-022,SR,,tcgcsv,2545,2737,1.0,4.97,25.0,4.51,,,2026-04-02 03:06:18,tcgcsv,EB01-022,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
23,EB01-023,Edward Weevil,R,EB01,88,23,EB01-023,,base,Base,official-cardlist,EB01/sp/EB01-023_sp.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-023.png?260305,954,88,1348,HIGH,exact_code_plus_base_flag,1348,583745,Edward Weevil (Judge Pack Vol. 4),Edward Weevil Judge Pack Vol 4,EB01-023,R,,tcgcsv,1251,1348,0.5,2.25,28.95,1.39,,,2026-04-02 03:06:17,tcgcsv,EB01-023,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
24,EB01-024,Hamlet,C,,93,24,EB01-024,,base,Base,official-cardlist,EB01/base/EB01-024.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-024.png?260305,2198,93,2740,HIGH,exact_code_plus_base_flag,2740,544554,Hamlet,Hamlet,EB01-024,C,,tcgcsv,2548,2740,0.01,0.12,1.5,0.05,,,2026-04-02 03:06:18,tcgcsv,EB01-024,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
25,EB01-025,Fourtricks,C,,95,25,EB01-025,,base,Base,official-cardlist,EB01/base/EB01-025.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-025.png?260305,2199,95,2741,HIGH,exact_code_plus_base_flag,2741,544555,Fourtricks,Fourtricks,EB01-025,C,,tcgcsv,2549,2741,0.01,0.15,1.6,0.04,,,2026-04-02 03:06:18,tcgcsv,EB01-025,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
26,EB01-026,Prince Bellett,C,,97,26,EB01-026,,base,Base,official-cardlist,EB01/base/EB01-026.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-026.png?260305,2200,97,2742,HIGH,exact_code_plus_base_flag,2742,544556,Prince Bellett,Prince Bellett,EB01-026,C,,tcgcsv,2550,2742,0.01,0.15,1.58,0.05,,,2026-04-02 03:06:18,tcgcsv,EB01-026,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
27,EB01-027,Mr.1(Daz.Bonez),R,,99,27,EB01-027,,base,Base,official-cardlist,EB01/base/EB01-027.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-027.png?260305,1162,99,1597,HIGH,exact_code_plus_base_flag,1597,636548,Mr. 1 (Daz.Bonez) (Beginners Deck Party [ST-23] - [ST-28] Participation Pack),Mr 1 DazBonez Beginners Deck Party ST 23 ST 28 Participation Pack,EB01-027,R,,tcgcsv,1475,1597,0.2,0.5,20.0,0.46,,,2026-04-02 03:06:17,tcgcsv,EB01-027,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
28,EB01-028,Gum-Gum Champion Rifle,R,,103,28,EB01-028,,base,Base,official-cardlist,EB01/base/EB01-028.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-028.png?260305,2203,103,2745,HIGH,exact_code_plus_base_flag,2745,544559,Gum-Gum Champion Rifle,Gum Gum Champion Rifle,EB01-028,R,,tcgcsv,2553,2745,0.5,3.0,25.0,1.84,,,2026-04-02 03:06:18,tcgcsv,EB01-028,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
29,EB01-029,Sorry. I'm a Goner.,C,,105,29,EB01-029,,base,Base,official-cardlist,EB01/base/EB01-029.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-029.png?260305,2204,105,2746,HIGH,exact_code_plus_base_flag,2746,544560,Sorry. I'm a Goner.,Sorry Im a Goner,EB01-029,C,,tcgcsv,2554,2746,0.01,0.15,1.5,0.11,,,2026-04-02 03:06:18,tcgcsv,EB01-029,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
30,EB01-030,Loguetown,C,,107,30,EB01-030,,base,Base,official-cardlist,EB01/base/EB01-030.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-030.png?260305,2205,107,2747,HIGH,exact_code_plus_base_flag,2747,544561,Loguetown,Loguetown,EB01-030,C,,tcgcsv,2555,2747,0.01,0.15,1.61,0.1,,,2026-04-02 03:06:18,tcgcsv,EB01-030,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
31,EB01-031,Kalifa,R,,109,31,EB01-031,,base,Base,official-cardlist,EB01/base/EB01-031.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-031.png?260305,2206,109,2748,HIGH,exact_code_plus_base_flag,2748,544562,Kalifa,Kalifa,EB01-031,R,,tcgcsv,2556,2748,0.08,0.25,25.0,0.15,,,2026-04-02 03:06:18,tcgcsv,EB01-031,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
32,EB01-032,Army Wolves,C,,113,32,EB01-032,,base,Base,official-cardlist,EB01/base/EB01-032.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-032.png?260305,2208,113,2750,HIGH,exact_code_plus_base_flag,2750,544564,Army Wolves,Army Wolves,EB01-032,C,,tcgcsv,2558,2750,0.01,0.13,1.58,0.06,,,2026-04-02 03:06:18,tcgcsv,EB01-032,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
33,EB01-033,Blueno,R,,115,33,EB01-033,,base,Base,official-cardlist,EB01/base/EB01-033.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-033.png?260305,2209,115,2751,HIGH,exact_code_plus_base_flag,2751,544565,Blueno (033),Blueno 033,EB01-033,R,,tcgcsv,2559,2751,0.08,0.25,99.0,0.18,,,2026-04-02 03:06:18,tcgcsv,EB01-033,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
34,EB01-034,Ms. Wednesday,SR,,117,34,EB01-034,,base,Base,official-cardlist,EB01/base/EB01-034.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-034.png?260305,2210,117,2752,HIGH,exact_code_plus_base_flag,2752,544566,Ms. Wednesday,Ms Wednesday,EB01-034,SR,,tcgcsv,2560,2752,1.04,3.34,50.0,2.89,,,2026-04-02 03:06:18,tcgcsv,EB01-034,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
35,EB01-035,Ms. Monday,C,,121,35,EB01-035,,base,Base,official-cardlist,EB01/base/EB01-035.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-035.png?260305,2212,121,2754,HIGH,exact_code_plus_base_flag,2754,544568,Ms. Monday,Ms Monday,EB01-035,C,,tcgcsv,2562,2754,0.01,0.14,5.03,0.06,,,2026-04-02 03:06:18,tcgcsv,EB01-035,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
36,EB01-036,Minochihuahua,C,,123,36,EB01-036,,base,Base,official-cardlist,EB01/base/EB01-036.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-036.png?260305,2213,123,2755,HIGH,exact_code_plus_base_flag,2755,544569,Minochihuahua,Minochihuahua,EB01-036,C,,tcgcsv,2563,2755,0.01,0.15,1.58,0.07,,,2026-04-02 03:06:18,tcgcsv,EB01-036,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
37,EB01-037,Mr. 9,C,,125,37,EB01-037,,base,Base,official-cardlist,EB01/base/EB01-037.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-037.png?260305,2214,125,2756,HIGH,exact_code_plus_base_flag,2756,544570,Mr. 9,Mr 9,EB01-037,C,,tcgcsv,2564,2756,0.01,0.15,1.58,0.06,,,2026-04-02 03:06:18,tcgcsv,EB01-037,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
38,EB01-038,Oh Come My Way,C,,127,38,EB01-038,,base,Base,official-cardlist,EB01/base/EB01-038.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-038.png?260305,2215,127,2757,HIGH,exact_code_plus_base_flag,2757,544571,Oh Come My Way,Oh Come My Way,EB01-038,C,,tcgcsv,2565,2757,0.01,0.15,1.58,0.07,,,2026-04-02 03:06:18,tcgcsv,EB01-038,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
39,EB01-039,Conquerer of Three Worlds Ragnaraku,R,,131,39,EB01-039,,base,Base,official-cardlist,EB01/base/EB01-039.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-039.png?260305,2216,131,2758,HIGH,exact_code_plus_base_flag,2758,544572,Conquerer of Three Worlds Ragnaraku,Conquerer of Three Worlds Ragnaraku,EB01-039,R,,tcgcsv,2566,2758,0.45,0.75,25.0,0.55,,,2026-04-02 03:06:18,tcgcsv,EB01-039,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
40,EB01-040,Kyros,L,,133,40,EB01-040,,base,Base,official-cardlist,EB01/base/EB01-040.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-040.png?260305,2217,133,2759,HIGH,exact_code_plus_base_flag,2759,544573,Kyros,Kyros,EB01-040,L,,tcgcsv,2567,2759,0.09,0.2,5.0,0.18,,,2026-04-02 03:06:18,tcgcsv,EB01-040,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
41,EB01-041,Crocus,C,,138,41,EB01-041,,base,Base,official-cardlist,EB01/base/EB01-041.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-041.png?260305,2219,138,2761,HIGH,exact_code_plus_base_flag,2761,544575,Crocus,Crocus,EB01-041,C,,tcgcsv,2569,2761,0.01,0.11,1.61,0.05,,,2026-04-02 03:06:18,tcgcsv,EB01-041,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
42,EB01-042,Scarlet,R,,140,42,EB01-042,,base,Base,official-cardlist,EB01/base/EB01-042.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-042.png?260305,2220,140,2762,HIGH,exact_code_plus_base_flag,2762,544576,Scarlet,Scarlet,EB01-042,R,,tcgcsv,2570,2762,0.1,0.28,25.0,0.27,,,2026-04-02 03:06:18,tcgcsv,EB01-042,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
43,EB01-043,Spandine,R,,142,43,EB01-043,,base,Base,official-cardlist,EB01/base/EB01-043.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-043.png?260305,1058,142,1469,HIGH,exact_code_plus_base_flag,1469,619195,Spandine (Offline Regional Participation Pack 2025 Vol.1),Spandine Offline Regional Participation Pack 2025 Vol1,EB01-043,R,,tcgcsv,1362,1469,4.95,9.49,34.0,8.16,,,2026-04-02 03:06:17,tcgcsv,EB01-043,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
44,EB01-044,Funkfreed,C,,152,44,EB01-044,,base,Base,official-cardlist,EB01/base/EB01-044.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-044.png?260305,2222,152,2764,HIGH,exact_code_plus_base_flag,2764,544578,Funkfreed,Funkfreed,EB01-044,C,,tcgcsv,2572,2764,0.01,0.15,1.5,0.06,,,2026-04-02 03:06:18,tcgcsv,EB01-044,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
45,EB01-045,Brook,C,,154,45,EB01-045,,base,Base,official-cardlist,EB01/base/EB01-045.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-045.png?260305,2223,154,2765,HIGH,exact_code_plus_base_flag,2765,544579,Brook (045),Brook 045,EB01-045,C,,tcgcsv,2573,2765,0.01,0.16,1.58,0.16,,,2026-04-02 03:06:18,tcgcsv,EB01-045,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
46,EB01-046,Brook,SR,,156,46,EB01-046,,base,Base,official-cardlist,EB01/base/EB01-046.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-046.png?260305,2224,156,2766,HIGH,exact_code_plus_base_flag,2766,544580,Brook (046),Brook 046,EB01-046,SR,,tcgcsv,2574,2766,0.64,1.99,100.0,1.22,,,2026-04-02 03:06:18,tcgcsv,EB01-046,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
47,EB01-047,Laboon,C,,161,47,EB01-047,,base,Base,official-cardlist,EB01/base/EB01-047.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-047.png?260305,2226,161,2768,HIGH,exact_code_plus_base_flag,2768,544582,Laboon (047),Laboon 047,EB01-047,C,,tcgcsv,2576,2768,0.01,0.2,5.0,0.13,,,2026-04-02 03:06:18,tcgcsv,EB01-047,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
48,EB01-048,Laboon,SR,,163,48,EB01-048,,base,Base,official-cardlist,EB01/base/EB01-048.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-048.png?260305,1139,163,1570,HIGH,exact_code_plus_base_flag,1570,629758,Laboon (Treasure Cup 2025),Laboon Treasure Cup 2025,EB01-048,SR,,tcgcsv,1448,1570,1349.99,1397.5,1700.0,517.28,,,2026-04-02 03:06:17,tcgcsv,EB01-048,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
49,EB01-049,T-Bone,R,,169,49,EB01-049,,base,Base,official-cardlist,EB01/base/EB01-049.png,https://en.onepiece-cardgame.com/images/cardlist/card/EB01-049.png?260305,1069,169,1480,HIGH,exact_code_plus_base_flag,1480,619206,T-Bone (Judge Pack Vol. 5),T Bone Judge Pack Vol 5,EB01-049,R,,tcgcsv,1373,1480,0.5,0.99,4.0,0.99,,,2026-04-02 03:06:17,tcgcsv,EB01-049,1,1,1,0,1,0,missing_tcgplayer_product_id_only,price_via_chain_tcgplayer_id_missing
