canonical_code,card_name,variant_key,variant_label,image_path,tcgplayer_product_id,tcgplayer_market_price
EB01-021,Hannyabal,alt,Alt,thumbs/EB01-021alt.webp,,
EB01-021,Hannyabal,base,Base,EB01/base/EB01-021.png,,
EB01-021,Hannyabal,parallel_1,Parallel 1,EB01/parallel/EB01-021_p1.png,,
EB01-021,Hannyabal,parallel_2,Parallel 2,EB02/parallel/EB01-021_p2.png,,
EB01-022,Inazuma,alt,Alt,thumbs/EB01-022alt.webp,,
EB01-022,Inazuma,base,Base,EB01/base/EB01-022.png,,
EB01-022,Inazuma,parallel_1,Parallel 1,EB01/parallel/EB01-022_p1.png,,
EB01-023,Edward Weevil,base,Base,EB01/sp/EB01-023_sp.png,,
EB01-023,Edward Weevil,parallel_1,Parallel 1,EB04/parallel/EB01-023_p1.png,,
EB01-023,Edward Weevil,parallel_2,Parallel 2,SWBS01/parallel/EB01-023_p2.png,,
EB01-023,Edward Weevil,sp,SP,thumbs/EB01-023(SP).webp,,
EB01-024,Hamlet,base,Base,EB01/base/EB01-024.png,,
EB01-025,Fourtricks,base,Base,EB01/base/EB01-025.png,,
EB01-026,Prince Bellett,base,Base,EB01/base/EB01-026.png,,
EB01-027,Mr.1(Daz.Bonez),alt,Alt,thumbs/EB01-027alt.webp,,
EB01-027,Mr.1(Daz.Bonez),base,Base,EB01/base/EB01-027.png,,
EB01-027,Mr.1(Daz.Bonez),parallel_1,Parallel 1,EB01/parallel/EB01-027_p1.png,,
EB01-028,Gum-Gum Champion Rifle,base,Base,EB01/base/EB01-028.png,,
EB01-029,Sorry. I'm a Goner.,base,Base,EB01/base/EB01-029.png,,
EB01-030,Loguetown,base,Base,EB01/base/EB01-030.png,,
EB01-031,Kalifa,alt,Alt,thumbs/EB01-031alt.webp,,
EB01-031,Kalifa,base,Base,EB01/base/EB01-031.png,,
EB01-031,Kalifa,parallel_1,Parallel 1,EB01/parallel/EB01-031_p1.png,,
EB01-032,Army Wolves,base,Base,EB01/base/EB01-032.png,,
EB01-033,Blueno,base,Base,EB01/base/EB01-033.png,,
EB01-034,Ms. Wednesday,alt,Alt,thumbs/EB01-034alt.webp,,
EB01-034,Ms. Wednesday,base,Base,EB01/base/EB01-034.png,,
EB01-034,Ms. Wednesday,parallel_1,Parallel 1,EB01/parallel/EB01-034_p1.png,,
EB01-035,Ms. Monday,base,Base,EB01/base/EB01-035.png,,
EB01-036,Minochihuahua,base,Base,EB01/base/EB01-036.png,,
EB01-037,Mr. 9,base,Base,EB01/base/EB01-037.png,,
EB01-038,Oh Come My Way,base,Base,EB01/base/EB01-038.png,,
EB01-038,Oh Come My Way,parallel_1,Parallel 1,PRB02/parallel/EB01-038_p1.png,,
EB01-038,Oh Come My Way,r1,R1,PRB02/reprint/EB01-038_r1.png,,
EB01-039,Conquerer of Three Worlds Ragnaraku,base,Base,EB01/base/EB01-039.png,,
EB01-040,Kyros,alt,Alt,thumbs/EB01-040alt.webp,,
EB01-040,Kyros,base,Base,EB01/base/EB01-040.png,,
EB01-040,Kyros,parallel_1,Parallel 1,EB01/parallel/EB01-040_p1.png,,
EB01-040,Kyros,parallel_2,Parallel 2,EB02/parallel/EB01-040_p2.png,,
EB01-041,Crocus,base,Base,EB01/base/EB01-041.png,,
EB01-042,Scarlet,base,Base,EB01/base/EB01-042.png,,
EB01-043,Spandine,alt,Alt,thumbs/EB01-043alt.webp,,
EB01-043,Spandine,base,Base,EB01/base/EB01-043.png,,
EB01-043,Spandine,parallel_1,Parallel 1,ORP2025V1/parallel/EB01-043_p1.png,,
EB01-043,Spandine,parallel_2,Parallel 2,ORFC2526S1/parallel/EB01-043_p2.png,,
EB01-043,Spandine,parallel_3,Parallel 3,_unclassified/parallel/EB01-043_p3.png,,
EB01-043,Spandine,parallel_4,Parallel 4,_unclassified/parallel/EB01-043_p4.png,,
EB01-043,Spandine,parallel_5,Parallel 5,_unclassified/parallel/EB01-043_p5.png,,
EB01-043,Spandine,parallel_6,Parallel 6,_unclassified/parallel/EB01-043_p6.png,,
EB01-043,Spandine,promo,2Nd Anniversary Alt,thumbs/EB01-043(2nd anniversary alt).webp,,
EB01-044,Funkfreed,base,Base,EB01/base/EB01-044.png,,
EB01-045,Brook,base,Base,EB01/base/EB01-045.png,,
EB01-046,Brook,alt,Alt,thumbs/EB01-046alt.webp,,
EB01-046,Brook,base,Base,EB01/base/EB01-046.png,,
EB01-046,Brook,parallel_1,Parallel 1,EB01/parallel/EB01-046_p1.png,,
EB01-046,Brook,r1,R1,PRB02/reprint/EB01-046_r1.png,,
EB01-047,Laboon,base,Base,EB01/base/EB01-047.png,,
EB01-048,Laboon,alt,Alt,thumbs/EB01-048alt.webp,,
EB01-048,Laboon,base,Base,EB01/base/EB01-048.png,,
EB01-048,Laboon,parallel_1,Parallel 1,EB01/parallel/EB01-048_p1.png,,
EB01-048,Laboon,parallel_2,Parallel 2,_unclassified/parallel/EB01-048_p2.png,,
EB01-048,Laboon,r1,R1,PRB02/reprint/EB01-048_r1.png,,
EB01-049,T-Bone,alt,Alt,thumbs/EB01-049alt.webp,,
EB01-049,T-Bone,base,Base,EB01/base/EB01-049.png,,
EB01-049,T-Bone,parallel_1,Parallel 1,EB01/parallel/EB01-049_p1.png,,
EB01-050,...I Want to Live!!,base,Base,EB01/base/EB01-050.png,,
EB01-051,Finger Pistol,alt,Prb02,thumbs/EB01-051(PRB02).webp,,
EB01-051,Finger Pistol,base,Base,EB01/base/EB01-051.png,,
EB01-051,Finger Pistol,parallel_1,Parallel 1,PRB02/parallel/EB01-051_p1.png,,
EB01-051,Finger Pistol,r1,R1,PRB02/reprint/EB01-051_r1.png,,
EB01-052,Viola,alt,Alt,thumbs/EB01-052alt.webp,,
EB01-052,Viola,base,Base,EB01/base/EB01-052.png,,
EB01-052,Viola,parallel_1,Parallel 1,EB01/parallel/EB01-052_p1.png,,
EB01-053,Gastino,base,Base,EB01/base/EB01-053.png,,
EB01-054,Gan.Fall,base,Base,EB01/base/EB01-054.png,,
EB01-055,Charlotte Compote,base,Base,EB01/base/EB01-055.png,,
EB01-056,Charlotte Flampe,alt,Alt,thumbs/EB01-056alt.webp,,
EB01-056,Charlotte Flampe,base,Base,EB01/base/EB01-056.png,,
EB01-056,Charlotte Flampe,parallel_1,Parallel 1,EB01/parallel/EB01-056_p1.png,,
EB01-056,Charlotte Flampe,parallel_2,Parallel 2,OP10/parallel/EB01-056_p2.png,,
EB01-056,Charlotte Flampe,sp,S P,thumbs/EB01-056SP.webp,,
EB01-057,Shirahoshi,alt,Alt,thumbs/EB01-057alt.webp,,
EB01-057,Shirahoshi,base,Base,EB01/sp/EB01-057_sp.png,,
EB01-057,Shirahoshi,parallel_1,Parallel 1,EB01/parallel/EB01-057_p1.png,,
EB01-057,Shirahoshi,parallel_2,Parallel 2,OP11/parallel/EB01-057_p2.png,,
EB01-057,Shirahoshi,r1,R1,PRB02/reprint/EB01-057_r1.png,,
EB01-057,Shirahoshi,sp,SP,thumbs/EB01-057(SP).webp,,
EB01-058,Mont Blanc Cricket,base,Base,EB01/base/EB01-058.png,,
EB01-059,Kingdom Come,base,Base,EB01/base/EB01-059.png,,
EB01-060,Did Someone Say...Kami?,base,Base,EB01/base/EB01-060.png,,
EB01-060,Did Someone Say...Kami?,parallel_1,Parallel 1,PRB02/parallel/EB01-060_p1.png,,
EB01-060,Did Someone Say...Kami?,r1,R1,PRB02/reprint/EB01-060_r1.png,,
EB01-061,Mr.2.Bon.Kurei(Bentham),alt,Alt,thumbs/EB01-061alt.webp,,
EB01-061,Mr.2.Bon.Kurei(Bentham),base,Base,EB01/base/EB01-061.png,,
EB01-061,Mr.2.Bon.Kurei(Bentham),parallel_1,Parallel 1,EB01/parallel/EB01-061_p1.png,,
EB01-061,Mr.2.Bon.Kurei(Bentham),r1,R1,PRB02/reprint/EB01-061_r1.png,,
EB02-001,Karoo,base,Base,EB02/base/EB02-001.png,,
EB02-002,Sabo,base,Base,EB02/base/EB02-002.png,,
EB02-002,Sabo,promo,Cn,thumbs/EB02-002(CN).webp,,
EB02-003,Tony Tony.Chopper,alt,Alt,thumbs/EB02-003(Alt).webp,,
EB02-003,Tony Tony.Chopper,base,Base,EB02/base/EB02-003.png,,
EB02-003,Tony Tony.Chopper,parallel_1,Parallel 1,EB02/parallel/EB02-003_p1.png,,
EB02-004,Don Accino,base,Base,EB02/base/EB02-004.png,,
EB02-005,Fake Straw Hat Crew,base,Base,EB02/base/EB02-005.png,,
EB02-006,Yamato,alt,Alt,thumbs/EB02-006(Alt).webp,,
EB02-006,Yamato,base,Base,EB02/base/EB02-006.png,,
EB02-006,Yamato,parallel_1,Parallel 1,EB02/parallel/EB02-006_p1.png,,
EB02-006,Yamato,promo,Cn3Rdann,thumbs/EB02-006(CN3rdAnn).webp,,
EB02-006,Yamato,promo,Premiumvol 5,thumbs/EB02-006(PremiumVol.5).webp,,
EB02-006,Yamato,promo,Serial,thumbs/EB02-006(serial).webp,,
EB02-007,Cloven Rose Blizzard,base,Base,EB02/base/EB02-007.png,,
EB02-008,The Peak,base,Base,EB02/base/EB02-008.png,,
EB02-009,Thousand Sunny,base,Base,EB02/base/EB02-009.png,,
EB02-010,Monkey.D.Luffy,alt,Alt,thumbs/EB02-010(Alt).webp,,
EB02-010,Monkey.D.Luffy,base,Base,EB02/base/EB02-010.png,,
EB02-010,Monkey.D.Luffy,ir,Ia,thumbs/EB02-010(IA).webp,,
EB02-010,Monkey.D.Luffy,parallel_1,Parallel 1,EB02/parallel/EB02-010_p1.png,,
EB02-010,Monkey.D.Luffy,parallel_2,Parallel 2,_unclassified/parallel/EB02-010_p2.png,,
EB02-010,Monkey.D.Luffy,promo,Soundloader,thumbs/EB02-010(Soundloader).webp,,
EB02-011,Arlong,alt,Alt,thumbs/EB02-011(Alt).webp,,
EB02-011,Arlong,base,Base,EB02/base/EB02-011.png,,
EB02-011,Arlong,parallel_1,Parallel 1,EB02/parallel/EB02-011_p1.png,,
EB02-012,Gaimon,base,Base,EB02/base/EB02-012.png,,
EB02-013,Carrot,base,Base,EB02/base/EB02-013.png,,
EB02-014,Sarfunkel,base,Base,EB02/base/EB02-014.png,,
EB02-015,Jewelry Bonney,alt,Alt,thumbs/EB02-015(Alt).webp,,
EB02-015,Jewelry Bonney,base,Base,EB02/base/EB02-015.png,,
EB02-015,Jewelry Bonney,parallel_1,Parallel 1,EB02/parallel/EB02-015_p1.png,,
EB02-016,Chopperman,base,Base,EB02/base/EB02-016.png,,
EB02-017,Nami,alt,Alt,thumbs/EB02-017(Alt).webp,,
EB02-017,Nami,alt,Alt Art 2,thumbs/EB02-017(Alt2).webp,,
EB02-017,Nami,base,Base,EB02/base/EB02-017.png,,
EB02-017,Nami,parallel_1,Parallel 1,EB02/parallel/EB02-017_p1.png,,
EB02-018,Buggy,base,Base,EB02/base/EB02-018.png,,
EB02-019,Roronoa Zoro,alt,Alt Art 1,thumbs/EB02-019(Alt1).webp,,
EB02-019,Roronoa Zoro,alt,Alt Art 2,thumbs/EB02-019(Alt2).webp,,
EB02-019,Roronoa Zoro,base,Base,EB02/base/EB02-019.png,,
EB02-019,Roronoa Zoro,parallel_1,Parallel 1,TP2025V3/parallel/EB02-019_p1.png,,
EB02-019,Roronoa Zoro,parallel_2,Parallel 2,_unclassified/parallel/EB02-019_p2.png,,
EB02-020,We Are!,base,Base,EB02/base/EB02-020.png,,
EB02-021,Gum-Gum Giant Pistol,base,Base,EB02/base/EB02-021.png,,
EB02-022,Usopp,alt,Alt,thumbs/EB02-022(Alt).webp,,
EB02-022,Usopp,base,Base,EB02/base/EB02-022.png,,
EB02-022,Usopp,parallel_1,Parallel 1,EB02/parallel/EB02-022_p1.png,,
EB02-023,Crocodile,base,Base,EB02/base/EB02-023.png,,
EB02-024,Sogeking,base,Base,EB02/base/EB02-024.png,,
EB02-025,Donquixote Rosinante,base,Base,EB02/base/EB02-025.png,,
EB02-026,Nefeltari Vivi,alt,Alt,thumbs/EB02-026(Alt).webp,,
EB02-026,Nefeltari Vivi,base,Base,EB02/base/EB02-026.png,,
EB02-026,Nefeltari Vivi,parallel_1,Parallel 1,EB02/parallel/EB02-026_p1.png,,
EB02-026,Nefeltari Vivi,parallel_2,Parallel 2,_unclassified/parallel/EB02-026_p2.png,,
EB02-026,Nefeltari Vivi,promo,Exe Vol 3,thumbs/EB02-026(EXE.Vol.3).webp,,
EB02-026,Nefeltari Vivi,tr,Tr,thumbs/EB02-026(TR).webp,,
EB02-027,Vista,base,Base,EB02/base/EB02-027.png,,
EB02-028,Portgas.D.Ace,base,Base,EB02/sp/EB02-028_sp.png,,
EB02-028,Portgas.D.Ace,parallel_1,Parallel 1,OP13/parallel/EB02-028_p1.png,,
EB02-028,Portgas.D.Ace,sp,SP,thumbs/EB02-028(SP).webp,,
EB02-029,Grandpa Ryu,base,Base,EB02/base/EB02-029.png,,
EB02-030,And That's When Somebody Makes Fun of Their Friend's Dream!!!!,base,Base,EB02/base/EB02-030.png,,
EB02-031,Hope,base,Base,EB02/base/EB02-031.png,,
EB02-032,Iceburg,base,Base,EB02/base/EB02-032.png,,
EB02-033,Klabautermann,base,Base,EB02/base/EB02-033.png,,
EB02-034,Komei,base,Base,EB02/base/EB02-034.png,,
EB02-035,Sanji & Pudding,alt,Alt,thumbs/EB02-035(Alt).webp,,
EB02-035,Sanji & Pudding,base,Base,EB02/base/EB02-035.png,,
EB02-035,Sanji & Pudding,parallel_1,Parallel 1,EB02/parallel/EB02-035_p1.png,,
EB02-036,Nico Robin,alt,Alt,thumbs/EB02-036(Alt).webp,,
EB02-036,Nico Robin,base,Base,EB02/base/EB02-036.png,,
EB02-036,Nico Robin,parallel_1,Parallel 1,EB02/parallel/EB02-036_p1.png,,
EB02-037,Franky,base,Base,EB02/base/EB02-037.png,,
EB02-038,Magellan,base,Base,EB02/base/EB02-038.png,,
EB02-039,GERMA 66,base,Base,EB02/base/EB02-039.png,,
EB02-040,BRAND NEW WORLD,base,Base,EB02/base/EB02-040.png,,
EB02-041,Merry Go,base,Base,EB02/base/EB02-041.png,,
EB02-041,Merry Go,parallel_1,Parallel 1,BCV5/parallel/EB02-041_p1.png,,
EB02-041,Merry Go,promo,Premiumvol 5,thumbs/EB02-041(PremiumVol.5).webp,,
EB02-042,All-Hunt Grount,base,Base,EB02/base/EB02-042.png,,
EB02-043,Jonathan,base,Base,EB02/base/EB02-043.png,,
EB02-044,Sengoku,alt,Alt,thumbs/EB02-044(Alt).webp,,
EB02-044,Sengoku,base,Base,EB02/base/EB02-044.png,,
EB02-044,Sengoku,parallel_1,Parallel 1,EB02/parallel/EB02-044_p1.png,,
EB02-045,Trafalgar Law,alt,Alt,thumbs/EB02-045(Alt).webp,,
EB02-045,Trafalgar Law,base,Base,EB02/base/EB02-045.png,,
EB02-045,Trafalgar Law,parallel_1,Parallel 1,EB02/parallel/EB02-045_p1.png,,
EB02-046,Hildon,base,Base,EB02/base/EB02-046.png,,
EB02-047,Blueno,base,Base,EB02/base/EB02-047.png,,
EB02-048,Brook,alt,Alt,thumbs/EB02-048(Alt).webp,,
EB02-048,Brook,base,Base,EB02/base/EB02-048.png,,
EB02-048,Brook,parallel_1,Parallel 1,EB02/parallel/EB02-048_p1.png,,
EB02-049,Monkey.D.Garp,base,Base,EB02/base/EB02-049.png,,
EB02-050,Kokoro no Chizu,base,Base,EB02/base/EB02-050.png,,
EB02-051,Three-Pace Hum Soul Notch Slash,base,Base,EB02/base/EB02-051.png,,
EB02-052,Enel,alt,Alt,thumbs/EB02-052(Alt).webp,,
EB02-052,Enel,base,Base,EB02/base/EB02-052.png,,
EB02-052,Enel,parallel_1,Parallel 1,EB02/parallel/EB02-052_p1.png,,
EB02-053,Myskina Olga,base,Base,EB02/base/EB02-053.png,,
EB02-054,Sanji,alt,Alt,thumbs/EB02-054(Alt).webp,,
EB02-054,Sanji,base,Base,EB02/base/EB02-054.png,,
EB02-054,Sanji,parallel_1,Parallel 1,EB02/parallel/EB02-054_p1.png,,
EB02-054,Sanji,promo,Exe Vol 3,thumbs/EB02-054(EXE.Vol.3).webp,,
EB02-054,Sanji,promo,Promo,thumbs/EB02-054(promo).webp,,
EB02-055,Jinbe,base,Base,EB02/base/EB02-055.png,,
EB02-055,Jinbe,parallel_1,Parallel 1,TP2025V3/parallel/EB02-055_p1.png,,
EB02-055,Jinbe,parallel_2,Parallel 2,_unclassified/parallel/EB02-055_p2.png,,
EB02-055,Jinbe,promo,Standardbattlevol11,thumbs/EB02-055(StandardBattleVol11).webp,,
EB02-056,Vegapunk,alt,Alt,thumbs/EB02-056(Alt).webp,,
EB02-056,Vegapunk,base,Base,EB02/base/EB02-056.png,,
EB02-056,Vegapunk,parallel_1,Parallel 1,EB02/parallel/EB02-056_p1.png,,
EB02-057,Mad Treasure,base,Base,EB02/base/EB02-057.png,,
EB02-058,UUUUUS!,base,Base,EB02/base/EB02-058.png,,
EB02-059,Without Your Help I Can't Become the King of the Pirates!!!!,base,Base,EB02/base/EB02-059.png,,
EB02-060,Merry Go,base,Base,EB02/base/EB02-060.png,,
EB02-061,Monkey.D.Luffy,alt,Alt,thumbs/EB02-061(Alt).webp,,
EB02-061,Monkey.D.Luffy,alt,Prb02,thumbs/EB02-061(PRB02).webp,,
EB02-061,Monkey.D.Luffy,base,Base,EB02/base/EB02-061.png,,
EB02-061,Monkey.D.Luffy,mr,Manga,thumbs/EB02-061(Manga).webp,,
EB02-061,Monkey.D.Luffy,parallel_1,Parallel 1,EB02/parallel/EB02-061_p1.png,,
EB02-061,Monkey.D.Luffy,parallel_2,Parallel 2,EB02/parallel/EB02-061_p2.png,,
EB02-061,Monkey.D.Luffy,parallel_3,Parallel 3,PRB02/parallel/EB02-061_p3.png,,
EB02-061,Monkey.D.Luffy,r1,R1,PRB02/reprint/EB02-061_r1.png,,
EB03-001,Nefeltari Vivi,alt,Alt,thumbs/EB03-001(alt).webp,,
EB03-001,Nefeltari Vivi,base,Base,EB03/base/EB03-001.png,,
EB03-001,Nefeltari Vivi,parallel_1,Parallel 1,EB03/parallel/EB03-001_p1.png,,
EB03-002,Ain,base,Base,EB03/base/EB03-002.png,,
EB03-003,Uta,alt,Alt,thumbs/EB03-003(alt).webp,,
EB03-003,Uta,base,Base,EB03/sp/EB03-003_sp.png,,
EB03-003,Uta,parallel_1,Parallel 1,EB03/parallel/EB03-003_p1.png,,
EB03-003,Uta,parallel_2,Parallel 2,EB03/parallel/EB03-003_p2.png,,
EB03-003,Uta,sp,SP,thumbs/EB03-003(SP).webp,,
EB03-004,Carina,base,Base,EB03/base/EB03-004.png,,
EB03-005,Sugar,base,Base,EB03/base/EB03-005.png,,
EB03-006,Nami,base,Base,EB03/base/EB03-006.png,,
EB03-007,Baccarat,base,Base,EB03/base/EB03-007.png,,
EB03-008,Hibari,alt,Alt,thumbs/EB03-008(alt).webp,,
EB03-008,Hibari,base,Base,EB03/base/EB03-008.png,,
EB03-008,Hibari,parallel_1,Parallel 1,EB03/parallel/EB03-008_p1.png,,
EB03-009,Makino,base,Base,EB03/base/EB03-009.png,,
EB03-010,Monet,base,Base,EB03/base/EB03-010.png,,
EB03-011,But If We Ever See Each Other Again... Will You Call Me Your Shipmate?!!,base,Base,EB03/base/EB03-011.png,,
EB03-012,Otama,base,Base,EB03/base/EB03-012.png,,
EB03-013,Carrot,alt,Alt,thumbs/EB03-013(alt).webp,,
EB03-013,Carrot,base,Base,EB03/base/EB03-013.png,,
EB03-013,Carrot,parallel_1,Parallel 1,EB03/parallel/EB03-013_p1.png,,
EB03-014,Kuina,base,Base,EB03/base/EB03-014.png,,
EB03-015,Camie,base,Base,EB03/base/EB03-015.png,,
EB03-016,Kouzuki Hiyori,base,Base,EB03/base/EB03-016.png,,
EB03-017,Jewelry Bonney,base,Base,EB03/base/EB03-017.png,,
EB03-018,Tashigi,alt,Alt,thumbs/EB03-018(alt).webp,,
EB03-018,Tashigi,base,Base,EB03/sp/EB03-018_sp.png,,
EB03-018,Tashigi,parallel_1,Parallel 1,EB03/parallel/EB03-018_p1.png,,
EB03-018,Tashigi,parallel_2,Parallel 2,EB03/parallel/EB03-018_p2.png,,
EB03-018,Tashigi,sp,SP,thumbs/EB03-018(SP).webp,,
EB03-019,Wanda,base,Base,EB03/base/EB03-019.png,,
EB03-020,"There You Are, Sore Loser!",base,Base,EB03/base/EB03-020.png,,
EB03-021,Alvida,base,Base,EB03/base/EB03-021.png,,
EB03-022,Isuka,base,Base,EB03/base/EB03-022.png,,
EB03-023,Kaya,base,Base,EB03/base/EB03-023.png,,
EB03-024,Nefeltari Vivi,alt,Alt,thumbs/EB03-024(alt).webp,,
EB03-024,Nefeltari Vivi,base,Base,EB03/sp/EB03-024_sp.png,,
EB03-024,Nefeltari Vivi,parallel_1,Parallel 1,EB03/parallel/EB03-024_p1.png,,
EB03-024,Nefeltari Vivi,parallel_2,Parallel 2,EB03/parallel/EB03-024_p2.png,,
EB03-024,Nefeltari Vivi,sp,SP,thumbs/EB03-024(SP).webp,,
EB03-025,Hina,alt,Alt,thumbs/EB03-025(alt).webp,,
EB03-025,Hina,base,Base,EB03/base/EB03-025.png,,
EB03-025,Hina,parallel_1,Parallel 1,EB03/parallel/EB03-025_p1.png,,
EB03-026,Boa Hancock,alt,Alt,thumbs/EB03-026(alt).webp,,
EB03-026,Boa Hancock,base,Base,EB03/sp/EB03-026_sp.png,,
EB03-026,Boa Hancock,parallel_1,Parallel 1,EB03/parallel/EB03-026_p1.png,,
EB03-026,Boa Hancock,parallel_2,Parallel 2,EB03/parallel/EB03-026_p2.png,,
EB03-026,Boa Hancock,sp,SP,thumbs/EB03-026(SP).webp,,
EB03-027,Marguerite,base,Base,EB03/base/EB03-027.png,,
EB03-028,Yu,base,Base,EB03/base/EB03-028.png,,
EB03-029,Insolent Fool!! Stand Down!!,base,Base,EB03/base/EB03-029.png,,
EB03-030,Viola,base,Base,EB03/base/EB03-030.png,,
EB03-031,Vinsmoke Reiju,alt,Alt,thumbs/EB03-031(alt).webp,,
EB03-031,Vinsmoke Reiju,base,Base,EB03/sp/EB03-031_sp.png,,
EB03-031,Vinsmoke Reiju,parallel_1,Parallel 1,EB03/parallel/EB03-031_p1.png,,
EB03-031,Vinsmoke Reiju,parallel_2,Parallel 2,EB03/parallel/EB03-031_p2.png,,
EB03-031,Vinsmoke Reiju,sp,SP,thumbs/EB03-031(SP).webp,,
EB03-032,Charlotte Flampe,base,Base,EB03/base/EB03-032.png,,
EB03-033,Charlotte Brulee,base,Base,EB03/base/EB03-033.png,,
EB03-034,Charlotte Linlin,alt,Alt,thumbs/EB03-034(alt).webp,,
