id,canonical_code,set_code,card_number,set_name,card_name,rarity,color,card_type,cost,power,counter,attribute,traits,life,block_icon,effect_text,trigger_text,aliases_json,sources_json,base_card_id,is_variant,variant_category,variant_subtype,stamp_type,stamp_event_name,stamp_placement,distribution_source,distribution_event,is_serialized,serial_number,print_run,is_premium_variant,variant_meta_json
11,EB01-011,EB01,011,Memorial Collection,Mini-Merry,C,Red,Stage,1,-,-,-,Straw Hat Crew,,2,[Activate: Main] You may rest this card and place 1 of your Characters with 1000 base power at the bottom of your deck: Draw 1 card.,,"[""EB01-011"", ""Mini-Merry""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-011,0,,,,,,,,0,,,0,{}
12,EB01-012,EB01,012,Memorial Collection,Cavendish,SR,Blue,Character,5,6000,1000,Slash,Supernovas / Beautiful Pirates,,2,"[On Play]/[When Attacking] If your Leader has the {Supernovas} type and you have no other [Cavendish] Characters, set up to 2 of your DON!! cards as active.",,"[""Cavendish"", ""EB01-012""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-012,0,,,,,,,,0,,,0,{}
13,EB01-013,EB01,013,Memorial Collection,Kouzuki Hiyori,R,Blue,Character,4,0,1000,Wisdom,Land of Wano / Kouzuki Clan,,2,"[Activate: Main] You may trash this Character: Play up to 1 {Land of Wano} type Character card with a cost of 5 or less other than [Kouzuki Hiyori] from your hand. Then, draw 1 card.",,"[""EB01-013"", ""Kouzuki Hiyori""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-013,0,,,,,,,,0,,,0,{}
14,EB01-014,EB01,014,Memorial Collection,Sanji,R,Blue,Character,4,5000,2000,Strike,FILM / Straw Hat Crew,,2,[DON!! x1] [Your Turn] This Character gains +1000 power for every 3 of your rested DON!! cards.,,"[""EB01-014"", ""Sanji""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-014,0,,,,,,,,0,,,0,{}
15,EB01-015,EB01,015,Memorial Collection,Scratchmen Apoo,R,Blue,Character,1,1000,2000,Special,Supernovas / On Air Pirates,,2,[On Play] Rest up to 1 of your opponent's Characters with a cost of 2 or less.,,"[""EB01-015"", ""Scratchmen Apoo""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-015,0,,,,,,,,0,,,0,{}
16,EB01-016,EB01,016,Memorial Collection,Bingoh,C,Blue,Character,1,0,1000,Wisdom,Land of Wano,,2,[Activate: Main] You may rest this Character: K.O. up to 1 of your opponent's rested Characters with a cost of 1 or less.,,"[""Bingoh"", ""EB01-016""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-016,0,,,,,,,,0,,,0,{}
17,EB01-017,EB01,017,Memorial Collection,Blueno,C,Blue,Character,2,2000,1000,Strike,FILM / CP0,,2,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,"[""Blueno"", ""EB01-017""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-017,0,,,,,,,,0,,,0,{}
18,EB01-018,EB01,018,Memorial Collection,Mountain God,C,Blue,Character,5,7000,1000,Strike,Animal / Land of Wano,,2,-,,"[""EB01-018"", ""Mountain God""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-018,0,,,,,,,,0,,,0,{}
19,EB01-019,EB01,019,Memorial Collection,Off-White,R,Blue,Event,2,-,-,-,The Seven Warlords / Donquixote Pirates,,2,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, look at 3 cards from the top of your deck; reveal up to 1 {Donquixote Pirates} type Character card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",,"[""EB01-019"", ""Off-White""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-019,0,,,,,,,,0,,,0,{}
20,EB01-020,EB01,020,Memorial Collection,Chambres,C,Blue,Event,1,-,-,-,Supernovas / Heart Pirates,,2,"[Main] If your Leader has the {Supernovas} type, return 1 of your Characters to the owner's hand, and play up to 1 Character card with a cost of 2 or less from your hand that is a different color than the returned Character.",[Trigger] Activate this card's [Main] effect.,"[""Chambres"", ""EB01-020""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-020,0,,,,,,,,0,,,0,{}
21,EB01-021,EB01,021,Memorial Collection,Hannyabal,L,Purple,Leader,4,5000,-,Slash,Impel Down,4,2,[End of Your Turn] You may return 1 of your {Impel Down} type Characters with a cost of 2 or more to the owner's hand: Add up to 1 DON!! card from your DON!! deck and set it as active.,,"[""EB01-021"", ""Hannyabal""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-021,0,,,,,,,,0,,,0,{}
22,EB01-022,EB01,022,Memorial Collection,Inazuma,SR,Green,Character,6,7000,1000,Slash,Impel Down / Revolutionary Army,,2,"[End of Your Turn] If you have 2 or less cards in your hand, draw 2 cards.",,"[""EB01-022"", ""Inazuma""]","[""local-catalog"", ""official-cardlist"", ""community-cardlist"", ""local-corroboration"", ""onepiece-cardgame-dev""]",EB01-022,0,,,,,,,,0,,,0,{}
23,EB01-023,EB01,023,Memorial Collection,Edward Weevil,R,Green,Character,4,6000,-,Slash,Seven Warlords of the Sea,,2,[On Play] Draw 1 card.,,"[""EB01-023"", ""Edward Weevil""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-023,1,premium_rarity,sp,,,,EB01,,0,,,1,{}
24,EB01-024,EB01,024,Memorial Collection,Hamlet,C,Green,Character,3,4000,1000,Slash,Animal Kingdom Pirates / SMILE,,2,"If you have 4 or less cards in your hand, all of your {SMILE} type Characters gain +1000 power.",,"[""EB01-024"", ""Hamlet""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-024,0,,,,,,,,0,,,0,{}
25,EB01-025,EB01,025,Memorial Collection,Fourtricks,C,Green,Character,3,5000,1000,Slash,Animal Kingdom Pirates / SMILE,,2,-,,"[""EB01-025"", ""Fourtricks""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-025,0,,,,,,,,0,,,0,{}
26,EB01-026,EB01,026,Memorial Collection,Prince Bellett,C,Green,Character,2,2000,2000,Ranged,Impel Down,,2,"[DON!! x1] [When Attacking] If you have 1 or less cards in your hand, return up to 1 Character with a cost of 3 or less to the owner's hand.",,"[""EB01-026"", ""Prince Bellett""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-026,0,,,,,,,,0,,,0,{}
27,EB01-027,EB01,027,Memorial Collection,Mr.1(Daz.Bonez),R,Green,Character,5,6000,1000,Slash,Baroque Works,,2,"If your Leader's type includes ""Baroque Works"", this Character gains +1000 power for every 2 Events in your trash. [On Play] Draw 2 cards and trash 1 card from your hand.",,"[""EB01-027"", ""Mr.1(Daz.Bonez)""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-027,0,,,,,,,,0,,,0,{}
28,EB01-028,EB01,028,Memorial Collection,Gum-Gum Champion Rifle,R,Green,Event,1,-,-,-,Straw Hat Crew / Impel Down,,2,"[Counter] If your Leader has the {Impel Down} type, up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, your opponent returns 1 of their active Characters to the owner's hand.",[Trigger] Return up to 1 Character with a cost of 3 or less to the bottom of the owner's deck.,"[""EB01-028"", ""Gum-Gum Champion Rifle""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-028,0,,,,,,,,0,,,0,{}
29,EB01-029,EB01,029,Memorial Collection,Sorry. I'm a Goner.,C,Green,Event,1,-,-,-,East Blue / Straw Hat Crew,,2,"[Counter] Reveal 1 card from the top of your deck. If the revealed card has a cost of 4 or more, return up to 1 of your Characters to the owner's hand. Then, place the revealed card at the bottom of your deck.",[Trigger] Return up to 1 Character with a cost of 8 or less to the owner's hand.,"[""EB01-029"", ""Sorry. I'm a Goner.""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-029,0,,,,,,,,0,,,0,{}
30,EB01-030,EB01,030,Memorial Collection,Loguetown,C,Green,Stage,2,-,-,-,East Blue,,2,[Activate: Main] You may place this card and 1 card from your hand at the bottom of your deck in any order: Draw 2 cards.,[Trigger] Play this card.,"[""EB01-030"", ""Loguetown""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-030,0,,,,,,,,0,,,0,{}
31,EB01-031,EB01,031,Memorial Collection,Kalifa,R,Purple,Character,5,5000,1000,Wisdom,Water 7 / Galley-la Company,,2,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, add up to 2 Character cards with a cost of 4 or less from your trash to your hand.",,"[""EB01-031"", ""Kalifa""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-031,0,,,,,,,,0,,,0,{}
32,EB01-032,EB01,032,Memorial Collection,Army Wolves,C,Purple,Character,5,7000,1000,Strike,Animal / Impel Down,,2,-,,"[""Army Wolves"", ""EB01-032""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-032,0,,,,,,,,0,,,0,{}
33,EB01-033,EB01,033,Memorial Collection,Blueno,R,Purple,Character,4,5000,1000,Strike,Water 7,,2,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Water Seven} type, play up to 1 {Water Seven} type Character card with a cost of 5 other than [Blueno] from your hand or trash.",,"[""Blueno"", ""EB01-033""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-033,0,,,,,,,,0,,,0,{}
34,EB01-034,EB01,034,Memorial Collection,Ms. Wednesday,SR,Purple,Character,3,4000,1000,Slash,Baroque Works,,2,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", add up to 1 DON!! card from your DON!! deck and set it as active.",,"[""EB01-034"", ""Ms. Wednesday""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-034,0,,,,,,,,0,,,0,{}
35,EB01-035,EB01,035,Memorial Collection,Ms. Monday,C,Purple,Character,3,5000,-,Strike,Baroque Works,,2,"[On Play] If your Leader's type includes ""Baroque Works"", up to 1 of your Leader or Character cards gains +1000 power during this turn.",[Trigger] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Play this card.,"[""EB01-035"", ""Ms. Monday""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-035,0,,,,,,,,0,,,0,{}
36,EB01-036,EB01,036,Memorial Collection,Minochihuahua,C,Purple,Character,4,5000,-,Strike,Impel Down / Jailer Beast,,2,"[Rush] (This card can attack on the turn in which it is played.) [On K.O.] If your Leader has the {Impel Down} type, add up to 1 DON!! card from your DON!! deck and rest it.",,"[""EB01-036"", ""Minochihuahua""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-036,0,,,,,,,,0,,,0,{}
37,EB01-037,EB01,037,Memorial Collection,Mr. 9,C,Purple,Character,3,4000,1000,Strike,Baroque Works,,2,[On Your Opponent's Attack] [Once Per Turn] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 2 or less.,,"[""EB01-037"", ""Mr. 9""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-037,0,,,,,,,,0,,,0,{}
38,EB01-038,EB01,038,Memorial Collection,Oh Come My Way,C,Purple,Event,1,-,-,-,Baroque Works,,2,"[Counter] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader's type includes ""Baroque Works"", select 1 of your Characters. Change the attack target to the selected Character.",[Trigger] DON!! −1: Draw 2 cards.,"[""EB01-038"", ""Oh Come My Way""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-038,0,,,,,,,,0,,,0,{}
39,EB01-039,EB01,039,Memorial Collection,Conquerer of Three Worlds Ragnaraku,R,Purple,Event,5,-,-,-,The Four Emperors / Animal Kingdom Pirates,,2,[Main] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 8 or less.,[Trigger] Add up to 1 DON!! card from your DON!! deck and set it as active.,"[""Conquerer of Three Worlds Ragnaraku"", ""EB01-039""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-039,0,,,,,,,,0,,,0,{}
40,EB01-040,EB01,040,Memorial Collection,Kyros,L,Purple,Leader,1,5000,-,Slash,Dressrosa,4,2,[Activate: Main] [Once Per Turn] You may turn 1 card from the top of your Life cards face-up: K.O. up to 1 of your opponent's Characters with a cost of 0.,,"[""EB01-040"", ""Kyros""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-040,0,,,,,,,,0,,,0,{}
41,EB01-041,EB01,041,Memorial Collection,Crocus,C,Black,Character,6,8000,1000,Wisdom,Former Roger Pirates,,2,-,,"[""Crocus"", ""EB01-041""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-041,0,,,,,,,,0,,,0,{}
42,EB01-042,EB01,042,Memorial Collection,Scarlet,R,Black,Character,2,0,1000,Wisdom,Dressrosa,,2,"[Activate: Main] You may trash this Character: Play up to 1 {Dressrosa} type Character card with a cost of 3 or less other than [Scarlet] from your hand rested. Then, give up to 1 of your opponent's Characters −2 cost during this turn.",,"[""EB01-042"", ""Scarlet""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-042,0,,,,,,,,0,,,0,{}
43,EB01-043,EB01,043,Memorial Collection,Spandine,R,Black,Character,3,2000,1000,Wisdom,CP9,,2,"[On Play] You may place 3 cards with a type including ""CP"" from your trash at the bottom of your deck in any order: Play up to 1 Character card with a type including ""CP"" and a cost of 4 or less other than [Spandine] from your trash rested.",,"[""EB01-043"", ""Spandine""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-043,0,,,,,,,,0,,,0,{}
44,EB01-044,EB01,044,Memorial Collection,Funkfreed,C,Black,Character,1,1000,1000,Slash,CP9,,2,[Activate: Main] You may rest this Character: Up to 1 of your [Spandam] Characters gains +3000 power during this turn.,,"[""EB01-044"", ""Funkfreed""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-044,0,,,,,,,,0,,,0,{}
45,EB01-045,EB01,045,Memorial Collection,Brook,C,Black,Character,3,4000,1000,Slash,Rumbar Pirates,,2,"[On Play] If your opponent has a Character with a cost of 0, this Character gains [Rush] during this turn. (This card can attack on the turn in which it is played.)",,"[""Brook"", ""EB01-045""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-045,0,,,,,,,,0,,,0,{}
46,EB01-046,EB01,046,Memorial Collection,Brook,SR,Black,Character,3,4000,1000,Slash,Straw Hat Crew,,2,"[On Play]/[When Attacking] Give up to 1 of your opponent's Characters −1 cost during this turn. Then, K.O. up to 1 of your opponent's Characters with a cost of 0.",,"[""Brook"", ""EB01-046""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-046,0,,,,,,,,0,,,0,{}
47,EB01-047,EB01,047,Memorial Collection,Laboon,C,Black,Character,2,4000,-,Strike,Animal,,2,"[Once Per Turn] When a Character is K.O.'d, draw 1 card and trash 1 card from your hand.",,"[""EB01-047"", ""Laboon""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-047,0,,,,,,,,0,,,0,{}
48,EB01-048,EB01,048,Memorial Collection,Laboon,SR,Black,Character,4,5000,1000,Strike,Animal,,2,[Activate: Main] You may rest this Character: Give up to 1 of your opponent's Characters −4 cost during this turn.,,"[""EB01-048"", ""Laboon""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-048,0,,,,,,,,0,,,0,{}
49,EB01-049,EB01,049,Memorial Collection,T-Bone,R,Black,Character,5,5000,2000,Slash,Water 7 / Navy,,2,[On Play] K.O. up to 1 of your opponent's Characters with a cost of 2 or less.,,"[""EB01-049"", ""T-Bone""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-049,0,,,,,,,,0,,,0,{}
50,EB01-050,EB01,050,Memorial Collection,...I Want to Live!!,C,Black,Event,3,-,-,-,Straw Hat Crew,,2,"[Counter] If you have 30 or more cards in your trash, add up to 1 card from the top of your deck to the top of your Life cards.",,"[""...I Want to Live!!"", ""EB01-050""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-050,0,,,,,,,,0,,,0,{}
51,EB01-051,EB01,051,Memorial Collection,Finger Pistol,R,Black,Event,4,-,-,-,CP9,,2,[Main] You may trash 2 cards from the top of your deck: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,[Trigger] Activate this card's [Main] effect.,"[""EB01-051"", ""Finger Pistol""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-051,0,,,,,,,,0,,,0,{}
52,EB01-052,EB01,052,Memorial Collection,Viola,SR,Yellow,Character,2,0,1000,Special,Dressrosa,,2,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] Choose one: • Look at all of your opponent's Life cards and place them back in their Life area in any order. • Turn all of your Life cards face-down.",,"[""EB01-052"", ""Viola""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-052,0,,,,,,,,0,,,0,{}
53,EB01-053,EB01,053,Memorial Collection,Gastino,C,Yellow,Character,3,5000,-,Special,Scientist,,2,[On Play] Place up to 1 of your opponent's Characters with a cost of 3 or less at the top or bottom of your opponent's Life cards face-up.,[Trigger] Give up to a total of 2 of your opponent's Leader or Character cards −3000 power during this turn.,"[""EB01-053"", ""Gastino""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-053,0,,,,,,,,0,,,0,{}
54,EB01-054,EB01,054,Memorial Collection,Gan.Fall,R,Yellow,Character,3,4000,1000,Slash,Dressrosa,,2,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) [On Play] If your opponent has 1 or less Life cards, K.O. up to 1 of your opponent's Characters with a cost of 3 or less.",,"[""EB01-054"", ""Gan.Fall""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-054,0,,,,,,,,0,,,0,{}
55,EB01-055,EB01,055,Memorial Collection,Charlotte Compote,C,Yellow,Character,7,9000,1000,Wisdom,Big Mom Pirates,,2,-,,"[""Charlotte Compote"", ""EB01-055""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-055,0,,,,,,,,0,,,0,{}
56,EB01-056,EB01,056,Memorial Collection,Charlotte Flampe,R,Yellow,Character,1,1000,2000,Special,Big Mom Pirates,,2,[On Play] You may add 1 card from the top or bottom of your Life cards to your hand: Draw 1 card.,,"[""Charlotte Flampe"", ""EB01-056""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-056,0,,,,,,,,0,,,0,{}
57,EB01-057,EB01,057,Memorial Collection,Shirahoshi,SR,Yellow,Character,2,0,1000,Wisdom,Merfolk,,2,"When this Character is K.O.'d by your opponent's effect, add up to 1 card from the top of your deck to the top of your Life cards. [Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",,"[""EB01-057"", ""Shirahoshi""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-057,1,premium_rarity,sp,,,,EB01,,0,,,1,{}
58,EB01-058,EB01,058,Memorial Collection,Mont Blanc Cricket,C,Yellow,Character,2,3000,1000,Strike,Monkey Mountain Alliance,,2,"[DON!! x1] [Your Turn] If you have 2 or less Life cards, this Character gains +2000 power.",,"[""EB01-058"", ""Mont Blanc Cricket""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-058,0,,,,,,,,0,,,0,{}
59,EB01-059,EB01,059,Memorial Collection,Kingdom Come,R,Yellow,Event,6,-,-,-,Sky Island,,2,"[Main] K.O. up to 1 of your opponent's Characters. Then, trash cards from the top of your Life cards until you have 1 Life card.",[Trigger] K.O. up to 1 of your opponent's Characters with a cost equal to or less than the total of your and your opponent's Life cards.,"[""EB01-059"", ""Kingdom Come""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""official-restriction-notices"", ""optcg-api"", ""local-corroboration""]",EB01-059,0,,,,,,,,0,,,0,{}
60,EB01-060,EB01,060,Memorial Collection,Did Someone Say...Kami?,C,Yellow,Event,4,-,-,-,Sky Island,,2,"[Main] Play up to 1 [Enel] with a cost of 7 or less from your hand or trash. Then, trash cards from the top of your Life cards until you have 1 Life card.",[Trigger] Draw 2 cards and trash 1 card from your hand.,"[""Did Someone Say...Kami?"", ""EB01-060""]","[""local-catalog"", ""official-cardlist"", ""onepiece-cardgame-dev"", ""local-corroboration""]",EB01-060,0,,,,,,,,0,,,0,{}
