canonical_code,image_path,sp_marker_detected,parallel_marker_detected,analysis_confidence,raw_vision_response,analysis_timestamp,review_status,operator_decision
OP14-019,F:\OPTCG_Images\OP14\OP14-019.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01Jb3f1Z56ZSAxzeWwD9SMWU"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:05Z,REVIEW_REQUIRED,
OP14-020,F:\OPTCG_Images\OP14\OP14-020.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_015QckszoKgpGDdeZxwtvHcm"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:07Z,REVIEW_REQUIRED,
OP14-021,F:\OPTCG_Images\OP14\OP14-021.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01URPQutDTHAd7dpY7uAEKsY"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:08Z,REVIEW_REQUIRED,
OP14-022,F:\OPTCG_Images\OP14\OP14-022.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01JYZeAbNpwVWZ31iWEdwnTe"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:10Z,REVIEW_REQUIRED,
OP14-023,F:\OPTCG_Images\OP14\OP14-023.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_0194tJ4TnRxtXHcnPsUoNVvS"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:12Z,REVIEW_REQUIRED,
OP14-024,F:\OPTCG_Images\OP14\OP14-024.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_016tko1RHWavD1vxh9WXUHxM"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:14Z,REVIEW_REQUIRED,
OP14-025,F:\OPTCG_Images\OP14\OP14-025.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01AabofMsFuEkgm1M51xuktM"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:16Z,REVIEW_REQUIRED,
OP14-026,F:\OPTCG_Images\OP14\OP14-026.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_015j1na7RT8La9UXpX6Rasuu"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:18Z,REVIEW_REQUIRED,
OP14-027,F:\OPTCG_Images\OP14\OP14-027.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_013A2hYtz25TJvm2EHDdEi5r"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:21Z,REVIEW_REQUIRED,
OP14-028,F:\OPTCG_Images\OP14\OP14-028.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_012QYzbP4bp2EqWbkR8cvbmL"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:22Z,REVIEW_REQUIRED,
OP14-029,F:\OPTCG_Images\OP14\OP14-029.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01TFPGeY7GrJPM98ghdJcc4w"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:24Z,REVIEW_REQUIRED,
OP14-030,F:\OPTCG_Images\OP14\OP14-030.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01QDZk8KSW7HcQsk99zo5gkX"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:26Z,REVIEW_REQUIRED,
OP14-031,F:\OPTCG_Images\OP14\OP14-031.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01RnnEXAEjbsAJKrwD69Htwa"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:28Z,REVIEW_REQUIRED,
OP14-032,F:\OPTCG_Images\OP14\OP14-032.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01P9dX2uv4hRhYPJcSwKqSvv"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:29Z,REVIEW_REQUIRED,
OP14-033,F:\OPTCG_Images\OP14\OP14-033.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01LnZCBoeHncrsb9dGBZutgs"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:31Z,REVIEW_REQUIRED,
OP14-034,F:\OPTCG_Images\OP14\OP14-034.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_01PtSdG88B9FsxpeTiKcfdKy"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:33Z,REVIEW_REQUIRED,
OP14-035,F:\OPTCG_Images\OP14\OP14-035.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_017wjsboQFSkdAVUChMjQnBu"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:35Z,REVIEW_REQUIRED,
OP14-036,F:\OPTCG_Images\OP14\OP14-036.png,0,0,high,"{""model"": ""claude-sonnet-4-20250514"", ""id"": ""msg_011H7agRjmAAU9wVEKAGTEC9"", ""type"": ""message"", ""role"": ""assistant"", ""content"": [{""type"": ""text"", ""text"": ""{\n  \""sp_marker\"": \""no\"",\n  \""parallel_marker\"": \""no\""\n}""}], ""stop_reason"": ""end_turn"", ""stop_sequence"": null, ""usage"": {""input_tokens"": 305, ""cache_creation_input_tokens"": 0, ""cache_read_input_tokens"": 0, ""cache_creation"": {""ephemeral_5m_input_tokens"": 0, ""ephemeral_1h_input_tokens"": 0}, ""output_tokens"": 26, ""service_tier"": ""standard"", ""inference_geo"": ""not_available""}}",2026-03-29T02:42:37Z,REVIEW_REQUIRED,
