id,product_id,group_id,name,clean_name,card_code,parsed_variant_key,card_variant_id,market_price,mid_price,low_price,price_updated_at,created_at,updated_at
175,454514,3188,Trafalgar Law (002) (Parallel),Trafalgar Law 002 Parallel,OP01-002,parallel_1,713,480.23,466.51,413.68,2026-04-01T20:09:44.686562+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.686562+00:00
176,454515,3188,Monkey.D.Luffy (003),MonkeyDLuffy 003,OP01-003,base,,6.57,10.0,6.34,2026-04-01T20:09:44.687200+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.687200+00:00
177,454516,3188,Usopp,Usopp,OP01-004,base,,0.2,0.25,0.06,2026-04-01T20:09:44.687837+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.687837+00:00
178,454517,3188,Uta,Uta,OP01-005,base,,0.45,0.45,0.14,2026-04-01T20:09:44.688476+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.688476+00:00
179,454518,3188,Otama,Otama,OP01-006,base,,0.41,0.75,0.25,2026-04-01T20:09:44.689110+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.689110+00:00
180,454519,3188,Caribou,Caribou,OP01-007,base,,0.06,0.15,0.01,2026-04-01T20:09:44.689721+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.689721+00:00
181,454520,3188,Cavendish,Cavendish,OP01-008,base,,0.08,0.15,0.01,2026-04-01T20:09:44.690341+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.690341+00:00
182,454522,3188,Carrot,Carrot,OP01-009,base,,0.11,0.17,0.02,2026-04-01T20:09:44.690950+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.690950+00:00
183,454525,3188,Komachiyo,Komachiyo,OP01-010,base,,0.11,0.15,0.01,2026-04-01T20:09:44.691578+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.691578+00:00
184,454526,3188,Gordon,Gordon,OP01-011,base,,0.12,0.2,0.05,2026-04-01T20:09:44.692188+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.692188+00:00
185,454527,3188,Sai,Sai,OP01-012,base,,0.06,0.15,0.01,2026-04-01T20:09:44.692806+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.692806+00:00
186,454529,3188,Sanji,Sanji,OP01-013,base,,1.07,1.96,0.69,2026-04-01T20:09:44.693462+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.693462+00:00
187,454530,3188,Sanji (Parallel),Sanji Parallel,OP01-013,parallel_2,764,46.31,57.09,43.92,2026-04-01T20:09:44.694620+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.694620+00:00
188,454532,3188,Jinbe (014),Jinbe 014,OP01-014,base,,0.19,0.2,0.05,2026-04-01T20:09:44.695339+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.695339+00:00
189,454533,3188,Tony Tony.Chopper,Tony TonyChopper,OP01-015,base,,0.26,0.32,0.1,2026-04-01T20:09:44.696002+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.696002+00:00
190,454534,3188,Nami,Nami,OP01-016,base,,1.78,2.99,1.0,2026-04-01T20:09:44.696640+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.696640+00:00
191,454536,3188,Nami (Parallel),Nami Parallel,OP01-016,parallel_2,789,447.06,447.06,397.99,2026-04-01T20:09:44.697589+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.697589+00:00
192,454538,3188,Nico Robin,Nico Robin,OP01-017,base,,0.39,0.49,0.1,2026-04-01T20:09:44.698218+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.698218+00:00
193,454540,3188,Hajrudin,Hajrudin,OP01-018,base,,0.07,0.15,0.01,2026-04-01T20:09:44.698853+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.698853+00:00
194,454542,3188,Bartolomeo,Bartolomeo,OP01-019,base,,0.12,0.2,0.03,2026-04-01T20:09:44.699509+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.699509+00:00
195,454543,3188,Hyogoro,Hyogoro,OP01-020,base,,0.07,0.15,0.01,2026-04-01T20:09:44.700137+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.700137+00:00
196,454544,3188,Franky,Franky,OP01-021,base,,0.2,0.21,0.01,2026-04-01T20:09:44.700792+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.700792+00:00
197,454545,3188,Brook,Brook,OP01-022,base,,0.29,0.3,0.1,2026-04-01T20:09:44.701428+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.701428+00:00
198,454546,3188,Marco,Marco,OP01-023,base,,0.08,0.15,0.01,2026-04-01T20:09:44.702047+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.702047+00:00
199,454547,3188,Gum-Gum Fire-Fist Pistol Red Hawk,Gum Gum Fire Fist Pistol Red Hawk,OP01-026,base,,0.83,1.25,0.7,2026-04-01T20:09:44.702664+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.702664+00:00
200,454548,3188,Round Table,Round Table,OP01-027,base,,0.83,1.04,0.16,2026-04-01T20:09:44.703282+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.703282+00:00
201,454549,3188,Green Star Rafflesia,Green Star Rafflesia,OP01-028,base,,0.08,0.15,0.01,2026-04-01T20:09:44.703894+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.703894+00:00
202,454550,3188,Radical Beam!!,Radical Beam,OP01-029,base,,0.45,0.48,0.15,2026-04-01T20:09:44.704526+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.704526+00:00
203,454551,3188,Kouzuki Oden,Kouzuki Oden,OP01-031,base,,0.28,0.3,0.15,2026-04-01T20:09:44.705139+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.705139+00:00
204,454552,3188,Kouzuki Oden (Parallel),Kouzuki Oden Parallel,OP01-031,parallel_1,864,114.24,114.99,99.0,2026-04-01T20:09:44.706778+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.706778+00:00
205,454553,3188,Ashura Doji,Ashura Doji,OP01-032,base,,0.12,0.2,0.03,2026-04-01T20:09:44.707434+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.707434+00:00
206,454554,3188,Izo,Izo,OP01-033,base,,0.33,0.4,0.1,2026-04-01T20:09:44.708074+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.708074+00:00
207,454555,3188,Inuarashi,Inuarashi,OP01-034,base,,0.07,0.15,0.01,2026-04-01T20:09:44.708707+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.708707+00:00
208,454556,3188,Okiku,Okiku,OP01-035,base,,0.32,0.32,0.14,2026-04-01T20:09:44.709496+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.709496+00:00
209,454558,3188,Otsuru,Otsuru,OP01-036,base,,0.08,0.15,0.01,2026-04-01T20:09:44.710240+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.710240+00:00
210,454560,3188,Kawamatsu,Kawamatsu,OP01-037,base,,0.07,0.15,0.01,2026-04-01T20:09:44.710895+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.710895+00:00
211,454562,3188,Kanjuro,Kanjuro,OP01-038,base,,0.06,0.15,0.01,2026-04-01T20:09:44.711528+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.711528+00:00
212,454563,3188,Killer,Killer,OP01-039,base,,0.28,0.31,0.06,2026-04-01T20:09:44.712150+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.712150+00:00
213,454564,3188,Kin'emon (Parallel),Kinemon Parallel,OP01-040,parallel_1,904,5.76,11.0,5.48,2026-04-01T20:09:44.713774+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.713774+00:00
214,454565,3188,Kouzuki Momonosuke,Kouzuki Momonosuke,OP01-041,base,,0.41,0.41,0.11,2026-04-01T20:09:44.714423+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.714423+00:00
215,454566,3188,Komurasaki,Komurasaki,OP01-042,base,,0.14,0.2,0.03,2026-04-01T20:09:44.715066+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.715066+00:00
216,454567,3188,Shinobu,Shinobu,OP01-043,base,,0.08,0.15,0.01,2026-04-01T20:09:44.715708+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.715708+00:00
217,454568,3188,Shachi,Shachi,OP01-044,base,,0.09,0.15,0.01,2026-04-01T20:09:44.716327+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.716327+00:00
218,454569,3188,Jean Bart,Jean Bart,OP01-045,base,,0.06,0.15,0.01,2026-04-01T20:09:44.716957+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.716957+00:00
219,454570,3188,Denjiro,Denjiro,OP01-046,base,,0.37,0.4,0.12,2026-04-01T20:09:44.717572+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.717572+00:00
220,454571,3188,Trafalgar Law (047),Trafalgar Law 047,OP01-047,base,,0.59,1.16,0.39,2026-04-01T20:09:44.718182+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.718182+00:00
221,454572,3188,Nekomamushi,Nekomamushi,OP01-048,base,,0.08,0.17,0.01,2026-04-01T20:09:44.718800+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.718800+00:00
222,454573,3188,Bepo,Bepo,OP01-049,base,,0.29,0.29,0.11,2026-04-01T20:09:44.719409+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.719409+00:00
223,454574,3188,Penguin,Penguin,OP01-050,base,,0.08,0.15,0.02,2026-04-01T20:09:44.720021+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.720021+00:00
224,454575,3188,"Eustass""Captain""Kid",EustassCaptainKid,OP01-051,base,,1.27,1.99,0.95,2026-04-01T20:09:44.720629+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.720629+00:00
225,454576,3188,"Eustass""Captain""Kid (Parallel)",EustassCaptainKid Parallel,OP01-051,parallel_1,945,20.27,23.49,17.86,2026-04-01T20:09:44.722296+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.722296+00:00
226,454577,3188,Raizo,Raizo,OP01-052,base,,0.1,0.2,0.02,2026-04-01T20:09:44.722952+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.722952+00:00
227,454578,3188,Wire,Wire,OP01-053,base,,0.07,0.15,0.01,2026-04-01T20:09:44.723590+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.723590+00:00
228,454579,3188,X.Drake (054),XDrake 054,OP01-054,base,,0.37,0.4,0.19,2026-04-01T20:09:44.724230+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.724230+00:00
229,454580,3188,You Can Be My Samurai!!,You Can Be My Samurai,OP01-055,base,,0.17,0.25,0.02,2026-04-01T20:09:44.724879+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.724879+00:00
230,454581,3188,Demon Face,Demon Face,OP01-056,base,,0.15,0.19,0.01,2026-04-01T20:09:44.725672+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.725672+00:00
231,454582,3188,Paradise Waterfall,Paradise Waterfall,OP01-057,base,,1.54,1.99,1.0,2026-04-01T20:09:44.726439+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.726439+00:00
232,454583,3188,Punk Gibson,Punk Gibson,OP01-058,base,,0.51,0.75,0.26,2026-04-01T20:09:44.727134+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.727134+00:00
233,454584,3188,BE-BENG!!,BE BENG,OP01-059,base,,0.09,0.15,0.01,2026-04-01T20:09:44.727785+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.727785+00:00
234,454585,3188,Donquixote Doflamingo (060),Donquixote Doflamingo 060,OP01-060,base,,0.4,0.44,0.15,2026-04-01T20:09:44.728452+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.728452+00:00
235,454586,3188,Donquixote Doflamingo (060) (Parallel),Donquixote Doflamingo 060 Parallel,OP01-060,parallel_1,981,280.31,275.5,203.37,2026-04-01T20:09:44.730157+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.730157+00:00
236,454587,3188,Kaido (061) (Parallel),Kaido 061 Parallel,OP01-061,parallel_1,987,142.83,147.81,130.0,2026-04-01T20:09:44.731786+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.731786+00:00
237,454588,3188,Crocodile (062),Crocodile 062,OP01-062,base,,0.29,0.32,0.15,2026-04-01T20:09:44.732455+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.732455+00:00
238,454589,3188,Crocodile (062) (Parallel),Crocodile 062 Parallel,OP01-062,parallel_1,991,143.64,160.89,139.99,2026-04-01T20:09:44.734111+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.734111+00:00
239,454590,3188,Arlong,Arlong,OP01-063,base,,0.18,0.2,0.02,2026-04-01T20:09:44.734778+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.734778+00:00
240,454591,3188,Alvida,Alvida,OP01-064,base,,0.1,0.19,0.03,2026-04-01T20:09:44.735426+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.735426+00:00
241,454592,3188,Vergo,Vergo,OP01-065,base,,0.07,0.15,0.01,2026-04-01T20:09:44.736058+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.736058+00:00
242,454593,3188,Krieg,Krieg,OP01-066,base,,0.06,0.15,0.01,2026-04-01T20:09:44.736686+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.736686+00:00
243,454594,3188,Crocodile (067) (Parallel),Crocodile 067 Parallel,OP01-067,parallel_1,1005,13.17,16.34,9.0,2026-04-01T20:09:44.738284+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.738284+00:00
244,454596,3188,Gecko Moria,Gecko Moria,OP01-068,base,,0.29,0.29,0.15,2026-04-01T20:09:44.738940+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.738940+00:00
245,454597,3188,Caesar Clown,Caesar Clown,OP01-069,base,,0.38,0.35,0.1,2026-04-01T20:09:44.739577+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.739577+00:00
246,454598,3188,Dracule Mihawk,Dracule Mihawk,OP01-070,base,,1.97,2.48,1.0,2026-04-01T20:09:44.740230+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.740230+00:00
247,454599,3188,Dracule Mihawk (Parallel),Dracule Mihawk Parallel,OP01-070,parallel_1,1014,43.86,49.17,31.0,2026-04-01T20:09:44.742653+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.742653+00:00
248,454600,3188,Jinbe (071),Jinbe 071,OP01-071,base,,0.19,0.25,0.1,2026-04-01T20:09:44.743546+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.743546+00:00
249,454601,3188,Smiley,Smiley,OP01-072,base,,0.1,0.15,0.01,2026-04-01T20:09:44.744271+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.744271+00:00
250,454602,3188,Donquixote Doflamingo (073),Donquixote Doflamingo 073,OP01-073,base,,0.33,0.5,0.02,2026-04-01T20:09:44.744953+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.744953+00:00
251,454603,3188,Donquixote Doflamingo (073) (Parallel),Donquixote Doflamingo 073 Parallel,OP01-073,parallel_1,1026,18.19,25.86,15.0,2026-04-01T20:09:44.746606+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.746606+00:00
252,454604,3188,Bartholomew Kuma,Bartholomew Kuma,OP01-074,base,,0.28,0.31,0.07,2026-04-01T20:09:44.747328+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.747328+00:00
253,454605,3188,Pacifista,Pacifista,OP01-075,base,,0.16,0.22,0.05,2026-04-01T20:09:44.748043+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.748043+00:00
254,454606,3188,Bellamy,Bellamy,OP01-076,base,,0.07,0.15,0.01,2026-04-01T20:09:44.748722+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.748722+00:00
255,454607,3188,Perona,Perona,OP01-077,base,,0.68,1.0,0.5,2026-04-01T20:09:44.749382+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.749382+00:00
256,454608,3188,Boa Hancock,Boa Hancock,OP01-078,base,,1.32,2.5,0.7,2026-04-01T20:09:44.750048+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.750048+00:00
257,454609,3188,Boa Hancock (Parallel),Boa Hancock Parallel,OP01-078,parallel_1,1045,123.12,141.59,109.0,2026-04-01T20:09:44.751662+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.751662+00:00
258,454610,3188,Ms. All Sunday,Ms All Sunday,OP01-079,base,,0.85,0.95,0.24,2026-04-01T20:09:44.752430+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.752430+00:00
259,454611,3188,Miss Doublefinger(Zala),Miss DoublefingerZala,OP01-080,base,,0.09,0.15,0.03,2026-04-01T20:09:44.753108+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.753108+00:00
260,454612,3188,Mocha,Mocha,OP01-081,base,,0.06,0.15,0.01,2026-04-01T20:09:44.753790+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.753790+00:00
261,454613,3188,Monet,Monet,OP01-082,base,,0.1,0.15,0.02,2026-04-01T20:09:44.754450+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.754450+00:00
262,454614,3188,Mr.1 (Daz.Bonez),Mr1 DazBonez,OP01-083,base,,0.1,0.2,0.01,2026-04-01T20:09:44.755077+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.755077+00:00
263,454615,3188,Mr.2.Bon.Kurei (Bentham),Mr2BonKurei Bentham,OP01-084,base,,0.17,0.21,0.03,2026-04-01T20:09:44.755710+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.755710+00:00
264,454616,3188,Mr.3 (Galdino),Mr3 Galdino,OP01-085,base,,0.13,0.2,0.03,2026-04-01T20:09:44.756377+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.756377+00:00
265,454617,3188,Overheat,Overheat,OP01-086,base,,0.32,0.34,0.04,2026-04-01T20:09:44.757032+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.757032+00:00
266,454618,3188,Officer Agents,Officer Agents,OP01-087,base,,0.08,0.15,0.01,2026-04-01T20:09:44.757664+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.757664+00:00
267,454619,3188,Desert Spada,Desert Spada,OP01-088,base,,0.37,0.55,0.2,2026-04-01T20:09:44.758319+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.758319+00:00
268,454620,3188,Crescent Cutlass,Crescent Cutlass,OP01-089,base,,0.09,0.15,0.01,2026-04-01T20:09:44.758939+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.758939+00:00
269,454621,3188,Baroque Works,Baroque Works,OP01-090,base,,0.15,0.2,0.05,2026-04-01T20:09:44.759581+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.759581+00:00
270,454622,3188,King (091),King 091,OP01-091,base,,0.28,0.28,0.1,2026-04-01T20:09:44.760200+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.760200+00:00
271,454623,3188,King (091) (Parallel),King 091 Parallel,OP01-091,parallel_1,1080,115.29,119.99,95.68,2026-04-01T20:09:44.761810+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.761810+00:00
272,454624,3188,Urashima,Urashima,OP01-092,base,,0.07,0.15,0.01,2026-04-01T20:09:44.762470+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.762470+00:00
273,454625,3188,Ulti,Ulti,OP01-093,base,,0.34,0.37,0.05,2026-04-01T20:09:44.763103+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.763103+00:00
274,454626,3188,Ulti (Parallel),Ulti Parallel,OP01-093,parallel_1,1087,10.59,17.67,7.98,2026-04-01T20:09:44.764712+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.764712+00:00
275,454627,3188,Kaido (094) (Parallel),Kaido 094 Parallel,OP01-094,parallel_1,1092,26.45,29.62,22.0,2026-04-01T20:09:44.766386+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.766386+00:00
276,454628,3188,Kyoshirou,Kyoshirou,OP01-095,base,,0.14,0.2,0.05,2026-04-01T20:09:44.767070+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.767070+00:00
277,454629,3188,King (096),King 096,OP01-096,base,,0.66,0.95,0.45,2026-04-01T20:09:44.767781+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.767781+00:00
278,454630,3188,King (096) (Parallel),King 096 Parallel,OP01-096,parallel_1,1098,11.25,12.68,9.0,2026-04-01T20:09:44.769461+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.769461+00:00
279,454631,3188,Queen,Queen,OP01-097,base,,0.23,0.25,0.06,2026-04-01T20:09:44.770150+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.770150+00:00
280,454632,3188,Queen (Parallel),Queen Parallel,OP01-097,parallel_1,1101,6.43,8.72,4.35,2026-04-01T20:09:44.771793+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.771793+00:00
281,454633,3188,Kurozumi Orochi,Kurozumi Orochi,OP01-098,base,,0.15,0.25,0.09,2026-04-01T20:09:44.772830+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.772830+00:00
282,454634,3188,Kurozumi Semimaru,Kurozumi Semimaru,OP01-099,base,,0.07,0.15,0.01,2026-04-01T20:09:44.773570+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.773570+00:00
283,454635,3188,Kurozumi Higurashi,Kurozumi Higurashi,OP01-100,base,,0.07,0.15,0.01,2026-04-01T20:09:44.774244+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.774244+00:00
284,454636,3188,Sasaki,Sasaki,OP01-101,base,,0.33,0.39,0.15,2026-04-01T20:09:44.774958+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.774958+00:00
285,454637,3188,Jack,Jack,OP01-102,base,,0.31,0.3,0.06,2026-04-01T20:09:44.775615+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.775615+00:00
286,454638,3188,Jack (Parallel),Jack Parallel,OP01-102,parallel_1,1115,6.54,7.61,3.99,2026-04-01T20:09:44.777290+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.777290+00:00
287,454639,3188,Scratchmen Apoo,Scratchmen Apoo,OP01-103,base,,0.1,0.16,0.01,2026-04-01T20:09:44.777962+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.777962+00:00
288,454640,3188,Speed,Speed,OP01-104,base,,0.09,0.15,0.02,2026-04-01T20:09:44.778639+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.778639+00:00
289,454641,3188,Bao Huang,Bao Huang,OP01-105,base,,0.07,0.15,0.01,2026-04-01T20:09:44.779289+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.779289+00:00
290,454642,3188,Basil Hawkins,Basil Hawkins,OP01-106,base,,0.26,0.33,0.1,2026-04-01T20:09:44.779971+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.779971+00:00
291,454643,3188,Babanuki,Babanuki,OP01-107,base,,0.08,0.15,0.01,2026-04-01T20:09:44.780605+00:00,2026-04-01 20:09:44,2026-04-01T20:09:44.780605+00:00
