path_or_project_key,cleanup_action,existed_before,exists_after,notes
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-elegant-bell,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-focused-visvesvaraya,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-gallant-kowalevski,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-lucid-murdock,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-nice-vaughan,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-optimistic-chebyshev,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-practical-gagarin,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-stupefied-galileo,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-suspicious-shamir,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-upbeat-mccarthy,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-upbeat-pascal,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-vigilant-shirley,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-youthful-albattani,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-youthful-pare,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\admiring-dhawan,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\cranky-kepler,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\elegant-bell,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\focused-visvesvaraya,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\gallant-kowalevski,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\hungry-lalande,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\lucid-murdock,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\nice-vaughan,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\optimistic-chebyshev,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\stupefied-galileo,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\suspicious-shamir,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\upbeat-mccarthy,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\upbeat-pascal,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\vigilant-shirley,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\youthful-albattani,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\docker\tcg-watcher\.claude\worktrees\youthful-pare,FAILED,true,true,Archive failed: [WinError 5] Access is denied: 'C:\\Users\\andre\\.claude\\archive_stale_worktrees'
D:\dev\tcg-watcher-worktree,KEPT,true,true,Preserved by policy
C:\Users\andre\.claude\projects\D--dev-tcg-watcher-worktree,KEPT,true,true,Preserved by policy
D:\dev\tcg-watcher-worktree\.mcp.json,KEPT,true,true,Preserved by policy
D:\dev\tcg-watcher-worktree\.claude\settings.local.json,KEPT,true,true,Preserved by policy
