path_or_project_key,type,status,recommended_action,reason,safe_to_remove_now,notes
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-optimistic-chebyshev,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-20T15:24:56
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-practical-gagarin,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-15T17:37:55
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-stupefied-galileo,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-19T12:10:54
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-suspicious-shamir,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-20T18:24:19
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-upbeat-mccarthy,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-27T10:33:40
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-upbeat-pascal,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-29T14:56:51
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-vigilant-shirley,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-20T02:25:21
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-youthful-albattani,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-22T17:54:20
C:\Users\andre\.claude\projects\D--docker-tcg-watcher--claude-worktrees-youthful-pare,CLAUDE_PROJECT_FOLDER,STALE_PROJECT_CACHE,ARCHIVE_FOLDER,Project cache for non-canonical bindings,true,last_write=2026-03-31T17:11:17
D:\docker\tcg-watcher\.claude\worktrees\admiring-dhawan,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-04-03T11:44:51
D:\docker\tcg-watcher\.claude\worktrees\cranky-kepler,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-27T08:56:56
D:\docker\tcg-watcher\.claude\worktrees\elegant-bell,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-15T17:43:23
D:\docker\tcg-watcher\.claude\worktrees\focused-visvesvaraya,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-27T12:57:16
D:\docker\tcg-watcher\.claude\worktrees\gallant-kowalevski,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-15T18:53:02
D:\docker\tcg-watcher\.claude\worktrees\hungry-lalande,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-26T09:16:55
D:\docker\tcg-watcher\.claude\worktrees\lucid-murdock,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-31T13:24:16
D:\docker\tcg-watcher\.claude\worktrees\nice-vaughan,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-31T17:07:36
D:\docker\tcg-watcher\.claude\worktrees\optimistic-chebyshev,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-20T15:23:58
D:\docker\tcg-watcher\.claude\worktrees\stupefied-galileo,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-19T12:14:13
D:\docker\tcg-watcher\.claude\worktrees\suspicious-shamir,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-20T18:24:08
D:\docker\tcg-watcher\.claude\worktrees\upbeat-mccarthy,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-27T10:33:14
D:\docker\tcg-watcher\.claude\worktrees\upbeat-pascal,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-28T12:45:02
D:\docker\tcg-watcher\.claude\worktrees\vigilant-shirley,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-20T02:31:11
D:\docker\tcg-watcher\.claude\worktrees\youthful-albattani,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-22T17:54:18
D:\docker\tcg-watcher\.claude\worktrees\youthful-pare,OLD_WORKTREE_FOLDER,STALE_NONCANONICAL_WORKTREE,ARCHIVE_FOLDER,"Old docker worktree folder, outside canonical repo",true,last_write=2026-03-31T17:11:17
D:\dev\tcg-watcher-worktree\.mcp.json,MCP_CONFIG_FILE,ACTIVE_CANONICAL,KEEP,Canonical repo-scoped MCP config must be preserved,false,
D:\dev\tcg-watcher-worktree\.claude\settings.local.json,CLAUDE_LOCAL_CONFIG,ACTIVE_CANONICAL,KEEP,Canonical repo Claude settings must be preserved,false,
